names,scores,logfoldchanges,pvals,pvals_adj,rank
Cct7,13.359114,-1.3548962,1.0480514030206388e-40,3.499579048734875e-40,728
Pus1,17.650305,-1.3604003,1.0120807469417942e-69,4.136764028986351e-69,729
Gsk3a,23.174547,-1.3699431,8.224547054218703e-119,4.497037638141203e-118,730
Daxx,21.645864,-1.3818612,6.648580883316616e-104,3.3378560902193793e-103,731
Lmbr1l,10.965031,-1.4090106,5.628155866051277e-28,1.681116207789545e-27,732
Magi2,12.68722,-1.415,6.96136702941618e-37,2.2491376091073667e-36,733
Or13a18,20.62227,-1.4250833,1.732314811305323e-94,8.264796638627152e-94,734
Traf6,6.0931168,-1.4426498,1.1073307087883274e-09,2.635656859360045e-09,735
Plcl2,5.186511,-1.486571,2.1427012258301682e-07,4.861935221453833e-07,736
Irak4,11.537217,-1.4920042,8.5651092159153e-31,2.626462998690579e-30,737
Ptch2,2.5214326,-1.4975402,0.0116878070641813,0.0225664288591652,738
Mtrnr2l7,4.603067,-1.5194433,4.163145769409638e-06,9.156207282981847e-06,739
Kdm3a,11.932594,-1.5351743,8.003944028595249e-33,2.49981702894947e-32,740
Or2t6,2.8780575,-1.5502496,0.0040013222751003,0.0079271352394652,741
Tada3,26.533203,-1.5635864,4.0134249573087386e-155,2.6355604925379404e-154,742
Ranbp6,7.2584505,-1.569691,3.9154918127402294e-13,9.872740404433918e-13,743
Reep1,-2.3598707,-1.5728165,0.0182813093991178,0.0348525269827734,744
Traf3ip1,6.849267,-1.5739334,7.422921933653028e-12,1.831959450369012e-11,745
Rara,21.76363,-1.601411,5.132030869574432e-105,2.5924658077463143e-104,746
Ly96,22.500187,-1.6068332,4.1330815689523733e-112,2.1845495578479305e-111,747
Sirt1,12.723582,-1.6566647,4.3733856447746105e-37,1.4153136363230729e-36,748
Il34,12.340833,-1.6813096,5.458831222575994e-35,1.73450433559951e-34,749
Gripap1,19.232656,-1.6982098,1.9726373378856257e-82,8.7734262018822e-82,750
Lag3,2.5426104,-1.724486,0.0110027812333262,0.0212751060504583,751
Agtr1a,7.3096876,-1.8092104,2.677642672203209e-13,6.764555888782032e-13,752
Pcna,25.607489,-1.8094846,1.2590001916814346e-144,7.848731466800518e-144,753
Itga3,-2.540539,-1.8104215,0.011068173961727,0.0213997984079524,754
Epha4,9.309288,-1.8305615,1.2869171610167042e-20,3.577529747013719e-20,755
Pitpnm1,5.6912193,-1.8375838,1.2613523345170151e-08,2.9406241110961716e-08,756
Kremen1,14.5620165,-1.889235,4.8991172211157134e-48,1.737829221804689e-47,757
Efna2,8.857943,-1.8989075,8.150460701971602e-19,2.2192741468734434e-18,758
Vmn2r79,7.094407,-1.9240031,1.299070514663977e-12,3.2471264155426236e-12,759
Usp20,2.348187,-1.9355532,0.0188650486499476,0.0359392946334715,760
Adgrl3,4.644878,-2.0069873,3.402773839229354e-06,7.498546586102862e-06,761
Cd38,6.954446,-2.0357533,3.539503603602018e-12,8.784052807384247e-12,762
