names,scores,logfoldchanges,pvals,pvals_adj
Dusp2,-0.011288153,-1.7866173,0.990993548598443,0.9999344575108171
Gm6689,-0.011487055,-0.3587375,0.990834857692463,0.9999344575108171
Gm7669,-0.011489455,-1.3374733,0.9908329430944063,0.9999344575108171
Tubb1,-0.011580737,0.63829523,0.9907601147691588,0.9999344575108171
Nphs2,-0.011581846,-0.45025527,0.9907592311094655,0.9999344575108171
Akap14,-0.011581846,-0.20446932,0.9907592311094655,0.9999344575108171
Gm19840,-0.011582399,-0.6809706,0.9907587892796231,0.9999344575108171
Hcrtr1,-0.01158406,-0.7126606,0.990757463790113,0.9999344575108171
Gm10540,-0.011584614,-0.49313295,0.9907570219602819,0.9999344575108171
Trim38,-0.011584614,-1.2068336,0.9907570219602819,0.9999344575108171
Nlrp4g,-0.011584983,0.3336522,0.9907567274070628,0.9999344575108171
S100a14,-0.011915595,-0.7960196,0.9904929555098466,0.9999344575108171
Gm45778,-0.012025892,-1.4343566,0.9904049581356765,0.9999344575108171
Gm14392,-0.012096038,-2.0049496,0.9903489933391175,0.9999344575108171
Gm20920,-0.012174676,0.36083147,0.9902862539131287,0.9999344575108171
Gm4034,-0.012188982,-1.9804766,0.990274840056866,0.9999344575108171
Gm49356,-0.012199228,-0.5541353,0.990266666264249,0.9999344575108171
Gm48750,-0.012277312,-0.35093004,0.9902043687433356,0.9999344575108171
Gm20794,-0.012278235,-1.3185096,0.9902036323663762,0.9999344575108171
Gm21647,-0.012278235,-1.3185096,0.9902036323663762,0.9999344575108171
Gm7833,-0.012278235,-1.4519408,0.9902036323663762,0.9999344575108171
Potefam3c,-0.012278603,-2.0347912,0.9902033378155949,0.9999344575108171
Bpifc,-0.0122791575,-1.5072428,0.9902028959894252,0.9999344575108171
Lect2,-0.0122791575,-1.2129351,0.9902028959894252,0.9999344575108171
Sox21,-0.012279712,-0.83961856,0.9902024541632586,0.9999344575108171
Gm5256,-0.012280449,-2.430724,0.9902018650617078,0.9999344575108171
Lipo4,-0.012280819,-2.689703,0.9902015705109344,0.9999344575108171
Dnaaf8,-0.012324753,-1.3840015,0.9901665189784467,0.9999344575108171
Or52ad1,-0.012381239,-1.0260147,0.9901214527502887,0.9999344575108171
F2rl3,-0.012484797,-1.6190488,0.9900388314139622,0.9999344575108171
Gm11733,-0.01258291,-0.2417006,0.9899605547918897,0.9999344575108171
Gm7451,-0.0126797315,-1.2434595,0.989883309189017,0.9999344575108171
Mup17,-0.012698744,-2.6567428,0.9898681399015719,0.9999344575108171
Tgm4,-0.012703175,-1.3709134,0.9898646053108484,0.9999344575108171
Slc5a10,-0.012751631,0.61917025,0.9898259457378125,0.9999344575108171
Tnfsf14,-0.012763631,-0.67051286,0.9898163728948423,0.9999344575108171
Ldoc1,-0.012769907,-0.69122416,0.9898113655621802,0.9999344575108171
Gm48552,-0.012775906,-0.5627955,0.9898065791416284,0.9999344575108171
Gm13453,-0.012795196,-0.83384883,0.9897911889611106,0.9999344575108171
Gm6665,-0.012803227,-0.99404377,0.9897847825234498,0.9999344575108171
Wnt8b,-0.012873189,-0.979449,0.9897289655427783,0.9999344575108171
Cd209g,-0.012873926,-1.435395,0.9897283764456246,0.9999344575108171
Rimbp3,-0.0128741115,-1.0799993,0.9897282291713371,0.9999344575108171
Haao,-0.0128750345,-1.68723,0.9897274927999045,0.9999344575108171
Gm9522,-0.012875403,-2.0201218,0.9897271982513339,0.9999344575108171
Dyrk4,-0.012875957,-1.850718,0.9897267564284807,0.9999344575108171
Gm18292,-0.01287688,-1.3749734,0.9897260200570657,0.9999344575108171
Arl14,-0.012973516,-1.3528173,0.9896489220184582,0.9999344575108171
Duxf3,-0.012973516,0.47252998,0.9896489220184582,0.9999344575108171
Gm8596,-0.012973516,-0.4792013,0.9896489220184582,0.9999344575108171
Gm13875,-0.012973516,1.2637041,0.9896489220184582,0.9999344575108171
Afm,-0.012973701,-1.5104825,0.9896487747443602,0.9999344575108171
Gm4900,-0.012973701,-3.1329138,0.9896487747443602,0.9999344575108171
Gm14238,-0.012973701,-2.2634702,0.9896487747443602,0.9999344575108171
Gm3208,-0.012973701,-1.6247908,0.9896487747443602,0.9999344575108171
Gcg,-0.012973701,-1.4728186,0.9896487747443602,0.9999344575108171
Tff1,-0.012973701,-1.2675492,0.9896487747443602,0.9999344575108171
Gm8138,-0.012973701,-1.9372208,0.9896487747443602,0.9999344575108171
Gm9655,-0.012973701,-2.1063,0.9896487747443602,0.9999344575108171
Gm12920,-0.012973701,-1.7759961,0.9896487747443602,0.9999344575108171
Duxf4,-0.012973701,-1.5480018,0.9896487747443602,0.9999344575108171
Gm5253,-0.012973701,-2.5947526,0.9896487747443602,0.9999344575108171
Gm29276,-0.012973701,-4.4635572,0.9896487747443602,0.9999344575108171
Gm7662,-0.012973701,-1.496691,0.9896487747443602,0.9999344575108171
Cst11,-0.012973701,-1.7275181,0.9896487747443602,0.9999344575108171
Gm20837,-0.012973885,-2.0491436,0.9896486274702626,0.9999344575108171
Gm45754,-0.012973885,-3.0933855,0.9896486274702626,0.9999344575108171
Gm50274,-0.012973885,-3.549543,0.9896486274702626,0.9999344575108171
Gm21758,-0.012973885,-6.40509,0.9896486274702626,0.9999344575108171
Gm17984,-0.012973885,-4.0937133,0.9896486274702626,0.9999344575108171
Ppp1r14d,-0.012973885,-3.7463183,0.9896486274702626,0.9999344575108171
Gm19187,-0.012973885,-2.358414,0.9896486274702626,0.9999344575108171
Krtap5-2,-0.012973885,-2.3872294,0.9896486274702626,0.9999344575108171
Vmn2r15,-0.012973885,-2.4882748,0.9896486274702626,0.9999344575108171
Gm11268,-0.012973885,-2.047033,0.9896486274702626,0.9999344575108171
Unc5cl,-0.012973885,-2.6556413,0.9896486274702626,0.9999344575108171
Cdh20,-0.012973885,-4.7349524,0.9896486274702626,0.9999344575108171
Gm50420,-0.012973885,-2.8206909,0.9896486274702626,0.9999344575108171
Gm28490,-0.012973885,-2.0491436,0.9896486274702626,0.9999344575108171
Gm20838,-0.012973885,-2.0491436,0.9896486274702626,0.9999344575108171
Akp-ps1,-0.012973885,-3.7719808,0.9896486274702626,0.9999344575108171
Gm6625,-0.012973885,-3.8204207,0.9896486274702626,0.9999344575108171
Lrrc63,-0.012973885,-1.8228407,0.9896486274702626,0.9999344575108171
Fbll1,-0.012973885,-1.8470979,0.9896486274702626,0.9999344575108171
Gdpd4,-0.012973885,-1.9731361,0.9896486274702626,0.9999344575108171
Tmprss4,-0.012973885,-2.494609,0.9896486274702626,0.9999344575108171
Gm28891,-0.012973885,-2.0491436,0.9896486274702626,0.9999344575108171
ENSMUSG00000096621,-0.012973885,-2.0668898,0.9896486274702626,0.9999344575108171
Mup3,-0.01297407,-4.1634083,0.9896484801961652,0.9999344575108171
Cfap65,-0.01297407,-4.9419518,0.9896484801961652,0.9999344575108171
Jhy,-0.01297407,-3.9831326,0.9896484801961652,0.9999344575108171
Clec3a,-0.01297407,-4.751056,0.9896484801961652,0.9999344575108171
Gm16362,-0.01297407,-5.0867496,0.9896484801961652,0.9999344575108171
Gm37203,-0.01297407,-3.3974621,0.9896484801961652,0.9999344575108171
Cfap144,-0.01297407,-4.7329617,0.9896484801961652,0.9999344575108171
Gm14298,-0.01297407,-5.0867496,0.9896484801961652,0.9999344575108171
Gm17148,-0.01297407,-2.5991483,0.9896484801961652,0.9999344575108171
Otof,-0.01297407,-3.8459454,0.9896484801961652,0.9999344575108171
Gm4864,-0.01297407,-4.611997,0.9896484801961652,0.9999344575108171
F12,-0.01297407,-2.8014038,0.9896484801961652,0.9999344575108171
Gm8784,-0.01297407,-5.1847982,0.9896484801961652,0.9999344575108171
Gm36985,-0.01297407,-3.9269805,0.9896484801961652,0.9999344575108171
Or5p60,-0.01297407,-3.6277454,0.9896484801961652,0.9999344575108171
Vmn1r2,-0.01297407,-3.2206006,0.9896484801961652,0.9999344575108171
Fgf6,-0.01297407,-3.5799265,0.9896484801961652,0.9999344575108171
H3f4,-0.01297407,-4.9101067,0.9896484801961652,0.9999344575108171
Ighv11-2,-0.01297407,-6.3326373,0.9896484801961652,0.9999344575108171
V1rg10,-0.01297407,-4.6293936,0.9896484801961652,0.9999344575108171
Gm8104,-0.01297407,-3.8206987,0.9896484801961652,0.9999344575108171
Gm9687,-0.013090642,-0.9227977,0.9895554766743725,0.9999344575108171
Gm21858,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm28700,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm21497,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm28897,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm29866,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm20906,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm20897,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm20817,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm21294,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm28553,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm20903,-0.013359046,0.21393977,0.9893413408412355,0.9999344575108171
Gm13998,-0.013368091,-0.72746545,0.989334124447491,0.9999344575108171
Ccr3,-0.013461127,-0.28331417,0.9892598987340147,0.9999344575108171
Gm5981,-0.013467034,-0.6729889,0.9892551859934335,0.9999344575108171
Eomes,-0.013467403,-1.7060413,0.9892548914471597,0.9999344575108171
Opn1mw,-0.013477372,-1.4202344,0.9892469386983188,0.9999344575108171
Gm15372,-0.013563025,1.6381044,0.9891786040116523,0.9999344575108171
Gm20937,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm21171,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm21117,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm20885,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm21650,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm28337,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm21638,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm20874,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm20843,-0.013564871,-0.4455289,0.9891771312822083,0.9999344575108171
Gm12247,-0.013565055,-1.1901777,0.9891769840092659,0.9999344575108171
Gm21679,-0.0135652395,-4.9454594,0.989176836736324,0.9999344575108171
Gm21865,-0.013565978,-6.3303537,0.9891762476445596,0.9999344575108171
Abca17,-0.01356727,-1.1859072,0.9891752167339862,0.9999344575108171
Kctd19,-0.013567824,-1.0974696,0.9891747749151746,0.9999344575108171
Gm12741,-0.013568008,-1.708245,0.9891746276422381,0.9999344575108171
Hoxc13,-0.013568378,-1.8591701,0.9891743330963663,0.9999344575108171
Gm21560,-0.013568378,-2.4002597,0.9891743330963663,0.9999344575108171
Gm49050,-0.013568378,-1.5436273,0.9891743330963663,0.9999344575108171
Vmn2r-ps19,-0.013569116,-1.8211594,0.989173744004627,0.9999344575108171
Gm14429,-0.013748543,-0.9781463,0.9890305948877359,0.9999344575108171
Gm2735,-0.013847579,-1.4003624,0.9889515832061654,0.9999344575108171
Rtn4rl2,-0.013868439,-1.584413,0.988934941430546,0.9999344575108171
Or4p4,-0.013908404,-1.1709849,0.9889030569800923,0.9999344575108171
Gbgt1,-0.014055712,0.061747357,0.9887855338473416,0.9999344575108171
Gm12389,-0.014057558,-0.52723235,0.9887840611279182,0.9999344575108171
Pcp4,-0.014075095,-4.393533,0.9887700702953031,0.9999344575108171
Gm20819,-0.014158624,-0.59459555,0.9887034297979509,0.9999344575108171
Or1e1,-0.014158993,-0.37519124,0.9887031352544908,0.9999344575108171
Rab9b,-0.014161577,-1.3182575,0.9887010734503132,0.9999344575108171
Ccdc175,-0.014162316,-1.3159325,0.9887004843634192,0.9999344575108171
Gm15803,-0.01426006,-0.47873488,0.9886225040403267,0.9999344575108171
Gm16494,-0.014260613,-1.1606823,0.988622062225774,0.9999344575108171
Mcpt2,-0.014260613,-0.63041484,0.988622062225774,0.9999344575108171
Or4n4b,-0.014260613,-0.9126439,0.988622062225774,0.9999344575108171
Itln1,-0.014260798,0.4160679,0.9886219149542571,0.9999344575108171
Trgc1,-0.014260798,-1.7924999,0.9886219149542571,0.9999344575108171
