ensembl_id,gene_symbol,importance
ENSG00000100678,SLC8A3,0.0
ENSG00000182185,RAD51B,0.0
ENSG00000258561,ENSG00000258561,0.0
ENSG00000179600,GPHB5,0.0
ENSG00000140015,KCNH5,0.0
ENSG00000139970,RTN1,0.0
ENSG00000165617,DACT1,0.0
ENSG00000155974,GRIP1,0.0
ENSG00000284730,TMDD1,0.0
ENSG00000258214,ENSG00000258214,0.0
ENSG00000070031,SCT,0.0
ENSG00000142089,IFITM3,0.0
ENSG00000142102,PGGHG,0.0
ENSG00000130643,CALY,0.0
ENSG00000273980,ENSG00000273980,0.0
ENSG00000151650,VENTX,0.0
ENSG00000235010,JAKMIP3-AS1,0.0
ENSG00000285529,ENSG00000285529,0.0
ENSG00000287997,EBF3-AS1,0.0
ENSG00000278484,ENSG00000278484,0.0
ENSG00000288172,ENSG00000288172,0.0
ENSG00000170370,EMX2,0.0
ENSG00000234474,MIR3663HG,0.0
ENSG00000107518,ATRNL1,0.0
ENSG00000148735,PLEKHS1,0.0
ENSG00000203867,RBM20,0.0
ENSG00000138166,DUSP5,0.0
ENSG00000229981,LINC01435,0.0
ENSG00000108018,SORCS1,0.0
ENSG00000225768,LINC02620,0.0
ENSG00000148798,INA,0.0
ENSG00000225208,ENSG00000225208,0.0
ENSG00000107593,PKD2L1,0.0
ENSG00000120054,CPN1,0.0
ENSG00000287261,HPS1-AS1,0.0
ENSG00000187553,CYP26C1,0.0
ENSG00000174721,FGFBP3,0.0
ENSG00000224851,LINC00502,0.0
ENSG00000184363,PKP3,0.0
ENSG00000149043,SYT8,0.0
ENSG00000152766,ANKRD22,0.0
ENSG00000130595,TNNT3,0.0
ENSG00000248990,LINC02758,0.0
ENSG00000254560,BBOX1-AS1,0.0
ENSG00000254819,ANO3-AS1,0.0
ENSG00000165973,NELL1,0.0
ENSG00000165970,SLC6A5,0.0
ENSG00000166833,NAV2,0.0
ENSG00000183695,MRGPRX2,0.0
ENSG00000134339,SAA2,0.0
ENSG00000188162,OTOG,0.0
ENSG00000006611,USH1C,0.0
ENSG00000287898,ENSG00000287898,0.0
ENSG00000110700,RPS13,0.0
ENSG00000254645,ENSG00000254645,0.0
ENSG00000110680,CALCA,0.0
ENSG00000255411,LINC02548,0.0
ENSG00000254486,LINC02547,0.0
ENSG00000072952,IRAG1,0.0
ENSG00000166407,LMO1,0.0
ENSG00000246820,RIC3-DT,0.0
ENSG00000254951,ENSG00000254951,0.0
