names,scores,logfoldchanges,pvals,pvals_adj,gene
ENSG00000121989,-0.23369566,-0.06669192,0.8152212560575552,1.0,ACVR2A
ENSG00000144401,-0.32612678,-0.13008188,0.744328435503834,1.0,METTL21A
ENSG00000107779,-0.18197928,-0.030975888,0.8555989796148769,1.0,BMPR1A
ENSG00000189292,-0.1767393,-0.66644007,0.8597131667559099,1.0,ALKAL2
ENSG00000163251,-0.1740778,-0.30155984,0.8618043262194044,1.0,FZD5
ENSG00000065325,-0.1725256,-1.0470679,0.8630243387264646,1.0,GLP2R
ENSG00000117425,-0.17129491,-0.20176348,0.8639918786926373,1.0,PTCH2
ENSG00000130731,-0.16924661,-0.17198879,0.8656026649665749,1.0,METTL26
ENSG00000225579,-0.1660741,-1.2397542,0.868098641899087,1.0,EDNRB-AS1
ENSG00000240288,-0.16031246,-0.3623547,0.8726349507585296,1.0,GHRLOS
ENSG00000122420,-0.15623076,-1.3889802,0.87585113400848,1.0,PTGFR
ENSG00000135966,-0.15261535,-0.051745936,0.8787016123215035,1.0,TGFBRAP1
ENSG00000169418,-0.1454165,-0.07787328,0.8843820371980624,1.0,NPR1
ENSG00000189046,-0.14534198,-0.35614482,0.8844408723791053,1.0,ALKBH2
ENSG00000129749,-0.13372289,-0.7571192,0.8936217106605028,1.0,CHRNA10
ENSG00000180340,-0.18043348,-1.0853487,0.8568122703159697,1.0,FZD2
ENSG00000160712,-0.32665482,-0.090189144,0.7439289718622999,1.0,IL6R
ENSG00000122025,-0.35243317,-0.55116856,0.7245134327083633,1.0,FLT3
ENSG00000175344,-0.3561742,-0.47800434,0.7217101216339697,1.0,CHRNA7
ENSG00000163873,-1.4193056,-1.404738,0.1558099430481874,1.0,GRIK3
ENSG00000137070,-1.2386656,-0.34324762,0.2154693727163924,1.0,IL11RA
ENSG00000204681,-1.1881884,-0.25104466,0.2347591921860238,1.0,GABBR1
ENSG00000168398,-1.1603106,-0.48495117,0.2459223459991603,1.0,BDKRB2
ENSG00000164171,-1.0949546,-0.47483736,0.2735365398821672,1.0,ITGA2
ENSG00000132470,-0.9015521,-0.4521138,0.3672948609032423,1.0,ITGB4
ENSG00000146648,-0.869071,-0.09429604,0.384808309160556,1.0,EGFR
ENSG00000053328,-0.8372861,-0.14187157,0.4024317495760366,1.0,METTL24
ENSG00000080224,-0.8161218,-0.42091638,0.4144304804371749,1.0,EPHA6
ENSG00000138095,-0.7890595,-0.1481557,0.4300772085810258,1.0,LRPPRC
ENSG00000197006,-0.7538829,-0.22691797,0.4509195593445391,1.0,METTL9
ENSG00000102755,-0.72100997,-0.32877544,0.4709033626046955,1.0,FLT1
ENSG00000147650,-0.72004336,-0.322244,0.4714983125834125,1.0,LRP12
ENSG00000077238,-0.7128934,-0.14392598,0.475911691255273,1.0,IL4R
ENSG00000286219,-0.7006611,-0.325983,0.4835145110982428,1.0,NOTCH2NLC
ENSG00000120889,-0.6852925,-0.22865778,0.4931593586864463,1.0,TNFRSF10B
ENSG00000142627,-0.6696875,-0.30037796,0.5030570024205923,1.0,EPHA2
ENSG00000239382,-0.6442882,-1.5936816,0.5193885733636425,1.0,ALKBH6
ENSG00000157873,-0.6418417,-0.42154503,0.5209759537093751,1.0,TNFRSF14
ENSG00000172878,-0.62523174,-0.18155864,0.5318189583575922,1.0,METAP1D
ENSG00000137809,-0.58704436,-0.48712423,0.5571738958571459,1.0,ITGA11
ENSG00000127418,-0.49862045,-0.24320331,0.6180468021271732,1.0,FGFRL1
ENSG00000102468,-0.4954969,-0.75922686,0.6202494165482557,1.0,HTR2A
ENSG00000164896,-0.4708811,-0.2743294,0.637725647099838,1.0,FASTK
ENSG00000168303,-0.44595656,-0.13890085,0.6556286179048798,1.0,MPLKIP
ENSG00000165792,-0.4358258,-0.2547093,0.6629631303806038,1.0,METTL17
ENSG00000215788,-0.394204,-0.49411494,0.6934304323738745,1.0,TNFRSF25
ENSG00000249599,-0.12638137,-21.19115,0.8994300509232571,1.0,BMPR1B-DT
ENSG00000168539,-0.013303302,-18.372025,0.9893858139812026,1.0,CHRM1
ENSG00000115232,-0.12232735,-0.25174987,0.902639771072081,1.0,ITGA4
ENSG00000238164,-0.113078065,-20.990732,0.9099686649210867,1.0,TNFRSF14-AS1
