rank,receptor,ligand,r_logfc,l_logfc,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,lig_deliver,lig_dgidb,rec_dgidb,lig_drug_combined,druggability_corrected,lit_receptor,lit_ligand,literature_auto,mismatch_norm,priority_score
74,Itgav,Col4a3,50.48,-24.83,4,0.294,0.2353,Other,ITGAV,COL4A3,mouse_only,0.2,1.0,0.497,0.634,0.7988,0.7493599999999999,0.423,0.494,0.4585,0.2353,0.372162
75,Epha7,Efna1,31.96,-5.8,5,0.5,0.29,Other,EPHA7,EFNA1,mouse_only,0.2,1.0,0.62,0.678,0.848,0.7969999999999999,0.22,0.435,0.3275,0.29,0.3719
76,Bmpr1b,Bmp2,2.35,-12.8,4,0.444,0.0835,BMP,BMPR1B,BMP2,mouse_only,0.2,1.0,0.543,0.697,0.8172,0.78114,0.403,0.867,0.635,0.0835,0.368278
77,Acvr1,Inhbb,21.96,-15.34,4,0.444,0.3556,BMP/Activin,ACVR1,INHBB,mouse_only,0.2,1.0,0.0,0.882,0.6,0.6846,0.524,0.095,0.3095,0.3556,0.3655
78,Itgb8,Vtn,12.0,-120.41,4,0.5,0.4,Other,ITGB8,VTN,mouse_only,0.2,1.0,0.0,0.261,0.6,0.49829999999999997,0.34,0.504,0.42200000000000004,0.4,0.36406000000000005
79,Erbb2,Tgfa,1.35,-2.65,4,0.125,0.0036,EGF,ERBB2,TGFA,mouse_only,0.2,1.0,0.543,0.8,0.8172,0.81204,0.925,0.416,0.6705,0.0036,0.357588
80,Itgb1,Angpt1,334.47,-0.02,3,0.2,0.0003,Other,ITGB1,ANGPT1,mouse_only,0.2,1.0,0.87,0.627,0.948,0.8516999999999999,0.583,0.673,0.628,0.0003,0.35603
81,Nrp2,Sema3c,9.63,-54.6,5,0.2,0.1925,Sema/VEGF,NRP2,SEMA3C,mouse_only,0.2,1.0,0.461,0.461,0.7844,0.6873799999999999,0.517,0.478,0.4975,0.1925,0.354726
82,Igf2r,Igf2,65.7,-0.2,5,0.667,0.0137,IGF,IGF2R,IGF2,mouse_only,0.2,1.0,0.661,0.497,0.8644000000000001,0.75418,0.615,0.754,0.6845,0.0137,0.351846
83,Itga5,Vtn,17.47,-120.41,4,0.308,0.2462,Other,ITGA5,VTN,mouse_only,0.2,1.0,0.0,0.595,0.6,0.5985,0.46,0.504,0.482,0.2462,0.34996
84,Itgb1,Lamb1,334.47,-75.75,4,0.2,0.16,Other,ITGB1,LAMB1,mouse_only,0.2,1.0,0.497,0.627,0.7988,0.7472599999999998,0.583,0.328,0.4555,0.16,0.348552
85,Itgb3,Vtn,4.57,-120.41,4,0.455,0.1663,Other,ITGB3,VTN,mouse_only,0.2,1.0,0.0,0.646,0.6,0.6138,0.646,0.504,0.575,0.1663,0.34765
86,Acvr2a,Bmp2,2.08,-12.8,3,0.286,0.0356,Activin,ACVR2A,BMP2,mouse_only,0.2,1.0,0.543,0.723,0.8172,0.78894,0.315,0.867,0.591,0.0356,0.346668
87,Itgav,Vtn,50.48,-120.41,4,0.294,0.2353,Other,ITGAV,VTN,mouse_only,0.2,1.0,0.0,0.634,0.6,0.6102,0.423,0.504,0.4635,0.2353,0.34532999999999997
88,Tnfrsf11b,Vtn,6.09,-120.41,4,0.333,0.1625,Other,TNFRSF11B,VTN,mouse_only,0.2,1.0,0.0,0.584,0.6,0.5952,0.661,0.504,0.5825,0.1625,0.34429
89,Itga5,Angpt1,17.47,-0.02,4,0.308,0.0006,Other,ITGA5,ANGPT1,mouse_only,0.2,1.0,0.87,0.595,0.948,0.8421,0.46,0.673,0.5665,0.0006,0.34190000000000004
90,Insr,Ahsg,0.6,-14.43,4,1.0,0.0477,Other,INSR,AHSG,mouse_only,0.2,1.0,0.0,0.979,0.6,0.7137,0.617,0.611,0.614,0.0477,0.33985000000000004
91,Bmpr1b,Bmp4,2.35,-73.53,4,0.444,0.0835,BMP,BMPR1B,BMP4,mouse_only,0.2,1.0,0.0,0.697,0.6,0.6291,0.403,0.86,0.6315,0.0835,0.33716999999999997
92,Plaur,Plau,3.18,-0.07,5,0.5,0.0011,Other,PLAUR,PLAU,mouse_only,0.2,1.0,0.734,0.595,0.8936,0.80402,0.656,0.482,0.569,0.0011,0.334934
93,Bmpr1b,Bmp7,2.35,-3.08,4,0.444,0.0257,BMP,BMPR1B,BMP7,mouse_only,0.2,1.0,0.613,0.697,0.8452,0.8007399999999999,0.403,0.657,0.53,0.0257,0.333858
94,Plaur,Vtn,3.18,-120.41,4,0.5,0.127,Other,PLAUR,VTN,mouse_only,0.2,1.0,0.0,0.595,0.6,0.5985,0.656,0.504,0.5800000000000001,0.127,0.3338
95,Epha3,Efna1,5.34,-5.8,5,0.429,0.1327,Other,EPHA3,EFNA1,mouse_only,0.2,1.0,0.62,0.613,0.848,0.7774999999999999,0.3,0.435,0.3675,0.1327,0.32881
96,Igf2r,Plau,65.7,-0.07,4,0.667,0.0037,IGF,IGF2R,PLAU,mouse_only,0.2,1.0,0.734,0.497,0.8936,0.77462,0.615,0.482,0.5485,0.0037,0.325734
97,Acvr2a,Bmp7,2.08,-3.08,4,0.286,0.0146,Activin,ACVR2A,BMP7,mouse_only,0.2,1.0,0.613,0.723,0.8452,0.8085399999999999,0.315,0.657,0.486,0.0146,0.323288
98,Pvr,Vtn,1.16,-120.41,4,1.0,0.0931,Other,PVR,VTN,mouse_only,0.2,1.0,0.0,0.0,0.6,0.42,1.0,0.504,0.752,0.0931,0.32233
99,Insr,Arf1,0.6,-25.04,4,1.0,0.0477,Other,INSR,ARF1,mouse_only,0.2,0.5,0.523,0.979,0.5092,0.6501399999999999,0.617,0.508,0.5625,0.0477,0.316838
100,Tnfrsf11b,Tnfsf13,6.09,-3.27,4,0.333,0.0532,Other,TNFRSF11B,TNFSF13,mouse_only,0.2,1.0,0.297,0.584,0.7188,0.67836,0.661,0.315,0.488,0.0532,0.309232
101,Bmpr1b,Bmp6,2.35,-20.73,4,0.444,0.0835,BMP,BMPR1B,BMP6,mouse_only,0.2,1.0,0.0,0.697,0.6,0.6291,0.403,0.56,0.48150000000000004,0.0835,0.30717
102,Epha1,Efna1,2.2,-5.8,5,0.4,0.051,Other,EPHA1,EFNA1,mouse_only,0.2,1.0,0.62,0.497,0.848,0.7426999999999999,0.284,0.435,0.3595,0.051,0.29574
103,Nectin2,Afdn,11.86,-6.35,4,1.0,0.508,Other,NECTIN2,AFDN,mouse_only,0.2,0.3,0.0,0.0,0.18,0.126,0.328,0.245,0.2865,0.508,0.2949
104,Acvr2a,Bmp6,2.08,-20.73,4,0.286,0.0475,Activin,ACVR2A,BMP6,mouse_only,0.2,1.0,0.0,0.723,0.6,0.6369,0.315,0.56,0.4375,0.0475,0.28913000000000005
105,Itgb3,Adam15,4.57,-6.47,4,0.455,0.1076,Other,ITGB3,ADAM15,mouse_only,0.2,0.5,0.0,0.646,0.3,0.4038,0.646,0.429,0.5375,0.1076,0.28054
106,Plxna4,Sema6a,9.79,-7.57,4,0.5,0.2965,Sema,PLXNA4,SEMA6A,mouse_only,0.2,0.5,0.461,0.1,0.4844,0.36907999999999996,0.266,0.3,0.28300000000000003,0.2965,0.279366
107,Itga5,Adam15,17.47,-6.47,4,0.308,0.1592,Other,ITGA5,ADAM15,mouse_only,0.2,0.5,0.0,0.595,0.3,0.38849999999999996,0.46,0.429,0.4445,0.1592,0.27436
108,Lgr6,Rspo3,1.93,-0.21,5,0.5,0.0021,Other,LGR6,RSPO3,mouse_only,0.2,1.0,0.261,0.595,0.7044,0.67158,0.387,0.395,0.391,0.0021,0.273146
109,Itgb1,Adam15,334.47,-6.47,4,0.2,0.1035,Other,ITGB1,ADAM15,mouse_only,0.2,0.5,0.0,0.627,0.3,0.3981,0.583,0.429,0.506,0.1035,0.27187
110,Itgav,Adam15,50.48,-6.47,4,0.294,0.1522,Other,ITGAV,ADAM15,mouse_only,0.2,0.5,0.0,0.634,0.3,0.4002,0.423,0.429,0.426,0.1522,0.27090000000000003
111,Insr,Sorbs1,0.6,-7.27,3,1.0,0.026,Other,INSR,SORBS1,mouse_only,0.2,0.5,0.1,0.979,0.33999999999999997,0.5317,0.617,0.34,0.47850000000000004,0.026,0.26983999999999997
112,Unc5c,Ntn1,1.56,-35.44,5,1.0,0.1561,Other,UNC5C,NTN1,mouse_only,0.2,1.0,0.0,0.0,0.6,0.42,0.22,0.54,0.38,0.1561,0.26683
113,Plxnb2,Sema4c,18.9,-15.07,5,0.333,0.3333,Other,PLXNB2,SEMA4C,mouse_only,0.2,0.5,0.1,0.0,0.33999999999999997,0.23799999999999996,0.315,0.245,0.28,0.3333,0.26359
114,Lrp6,Rspo3,12.87,-0.21,4,0.25,0.0043,Wnt,LRP6,RSPO3,mouse_only,0.2,1.0,0.261,0.0,0.7044,0.49307999999999996,0.614,0.395,0.5045,0.0043,0.260806
115,Fzd3,Myoc,3.23,-153.04,3,0.333,0.0647,Wnt,FZD3,MYOC,mouse_only,0.2,1.0,0.0,0.461,0.6,0.5583,0.245,0.451,0.348,0.0647,0.26067
116,Fzd8,Rspo3,17.09,-0.21,4,0.2,0.0034,Wnt,FZD8,RSPO3,mouse_only,0.2,1.0,0.261,0.297,0.7044,0.5821799999999999,0.34,0.395,0.36750000000000005,0.0034,0.25095599999999996
117,Acvr2a,Inhbb,2.08,-15.34,4,0.286,0.0475,Activin,ACVR2A,INHBB,mouse_only,0.2,1.0,0.0,0.723,0.6,0.6369,0.315,0.095,0.20500000000000002,0.0475,0.24263000000000004
118,Robo2,Slit3,1.37,-8.0,4,0.333,0.0291,Other,ROBO2,SLIT3,mouse_only,0.2,1.0,0.0,0.0,0.6,0.42,0.403,0.429,0.41600000000000004,0.0291,0.23593000000000003
119,Epha1,Efna2,2.2,-1.9,3,0.4,0.01,Other,EPHA1,EFNA2,mouse_only,0.2,0.5,0.702,0.497,0.5808,0.5556599999999999,0.284,0.19,0.237,0.01,0.221532
120,Plxna2,Sema6a,1.98,-7.57,4,0.5,0.0601,Sema,PLXNA2,SEMA6A,mouse_only,0.2,0.5,0.461,0.1,0.4844,0.36907999999999996,0.361,0.3,0.3305,0.0601,0.21794599999999997
121,Itga9,Adam15,12.0,-6.47,4,0.125,0.0647,Other,ITGA9,ADAM15,mouse_only,0.2,0.5,0.0,0.297,0.3,0.2991,0.328,0.429,0.3785,0.0647,0.21493
122,Acvr1b,Inhbb,1.05,-15.34,4,0.2,0.0169,Activin,ACVR1B,INHBB,mouse_only,0.2,1.0,0.0,0.0,0.6,0.42,0.423,0.095,0.259,0.0169,0.20087000000000002
123,Itgb3,Itgb3bp,4.57,-2.74,3,0.455,0.0342,Other,ITGB3,ITGB3BP,mouse_only,0.2,0.1,0.0,0.646,0.06,0.2358,0.646,0.095,0.3705,0.0342,0.19152000000000002
124,Neo1,Ntn3,49.09,-0.06,4,1.0,0.0049,Other,NEO1,NTN3,mouse_only,0.2,1.0,0.0,0.0,0.6,0.42,0.284,0.095,0.1895,0.0049,0.18336999999999998
125,Jmjd6,Ptdss1,3.11,-6.26,3,1.0,0.1168,Other,JMJD6,PTDSS1,mouse_only,0.2,0.5,0.0,0.0,0.3,0.21,0.284,0.15,0.21699999999999997,0.1168,0.18044
126,Lrp8,Lrpap1,1.57,-8.48,4,0.5,0.0531,Other,LRP8,LRPAP1,mouse_only,0.2,0.3,0.0,0.0,0.18,0.126,0.423,0.284,0.3535,0.0531,0.17182999999999998
