rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
23,Acvr1,Bmp6,54.75,21.96,-9.31,-20.73,3.4077937903842886e-20,4,0.444,4,9,0.0045,BMP/Activin
24,Acvr1,Bmp2,54.75,21.96,-11.79,-12.8,1.2892853069774322e-31,3,0.444,4,9,0.0043,BMP/Activin
25,Bmpr2,Bmp2,44.49,15.12,-11.79,-12.8,1.2892853069774322e-31,4,0.4,4,10,0.0042,BMP
26,Ntrk1,Ngf,5.92,-3.0,-42.42,-87.71,0.0,5,0.667,2,3,0.0042,Other
27,Bmpr1a,Bmp2,41.83,9.56,-11.79,-12.8,1.2892853069774322e-31,4,0.4,4,10,0.0039,BMP
28,Itgav,Col4a3,71.96,50.48,-23.5,-24.83,2.2243661695266457e-121,4,0.1,2,20,0.0034,Other
29,Bmpr2,Bmp6,44.49,15.12,-9.31,-20.73,3.4077937903842886e-20,4,0.4,4,10,0.0033,BMP
30,Itgb1,Lamc2,118.2,334.47,-8.29,-11.44,2.9664651117450787e-16,4,0.158,6,38,0.0031,Other
31,Bmpr1a,Bmp6,41.83,9.56,-9.31,-20.73,3.4077937903842886e-20,4,0.4,4,10,0.0031,BMP
32,Pvr,Vtn,14.07,1.16,-10.41,-120.41,6.644433391825109e-25,4,1.0,1,1,0.0029,Other
33,Acvr1,Inhbb,54.75,21.96,-5.46,-15.34,1.109667392529749e-07,4,0.444,4,9,0.0027,BMP/Activin
34,Lrp6,Rspo1,42.56,12.87,-15.81,-24.78,1.0423220477571363e-55,4,0.2,2,10,0.0027,Wnt
35,Itgb1,Lamb1,118.2,334.47,-7.14,-75.75,2.2848321839459625e-12,4,0.158,6,38,0.0027,Other
36,Fzd3,Myoc,11.79,3.23,-57.29,-153.04,0.0,3,0.25,1,4,0.0025,Wnt
37,Itgb1,Cd14,118.2,334.47,-6.61,-10.23,9.33005481645319e-11,4,0.158,6,38,0.0025,Other
38,Plxnd1,Sema3c,10.06,-2.67,-33.99,-54.6,3.3543069247321523e-252,4,0.333,1,3,0.0023,Other
