receptor,ligand,n_db,m_r_lfc,m_r_padj,m_l_lfc,m_l_padj,m_strict,m_relaxed,h_r_lfc,h_r_padj,h_l_lfc,h_l_padj,h_strict,h_relaxed,conservation
NOTCH1,DLL3,3,4.3951,2.465241393848366e-183,-0.7017,0.9999344575108172,trend,yes,0.7993,0.6606492981719543,-0.2029,1.0,trend,yes,CONSERVED_relaxed
NOTCH3,DLL3,3,5.4688,1.5999027198372099e-232,-0.7017,0.9999344575108172,trend,yes,0.9111,1.0,-0.2029,1.0,trend,yes,CONSERVED_relaxed
NOTCH4,DLL3,3,1.4665,1.1539854676177063e-28,-0.7017,0.9999344575108172,trend,yes,0.3283,1.0,-0.2029,1.0,trend,yes,CONSERVED_relaxed
IL6ST,EBI3,3,5.9256,5.237849615188787e-175,-2.3005,0.9999344575108172,trend,yes,0.3514,1.1176301121782341e-07,-0.9957,1.0,trend,yes,CONSERVED_relaxed
EDNRA,EDN2,5,10.0845,4.898784280673846e-261,-3.2383,0.7650052570636103,trend,yes,0.0527,1.0,-3.0498,1.0,trend,yes,CONSERVED_relaxed
EDNRA,EDN3,5,10.0845,4.898784280673846e-261,-2.534,0.9999344575108172,trend,yes,0.0527,1.0,-18.9188,1.0,trend,yes,CONSERVED_relaxed
EPHA3,EFNA2,5,5.3398,2.4840546873111232e-42,-1.8989,2.2192741468734434e-18,yes,yes,0.218,1.0,-19.184,1.0,trend,yes,CONSERVED_relaxed
EPHA7,EFNA2,5,31.9646,0.0,-1.8989,2.2192741468734434e-18,yes,yes,0.3969,1.0,-19.184,1.0,trend,yes,CONSERVED_relaxed
EPHA3,EFNB2,4,5.3398,2.4840546873111232e-42,-1.1951,6.4667057359368e-07,yes,yes,0.218,1.0,-0.3635,0.2022030917302192,trend,yes,CONSERVED_relaxed
EPHB2,EFNB2,5,10.117,7.016598977006612e-151,-1.1951,6.4667057359368e-07,yes,yes,0.5655,0.1389728477829799,-0.3635,0.2022030917302192,trend,yes,CONSERVED_relaxed
EPHB3,EFNB2,5,11.2477,2.0608860973678798e-228,-1.1951,6.4667057359368e-07,yes,yes,0.2887,1.0,-0.3635,0.2022030917302192,trend,yes,CONSERVED_relaxed
EPHB6,EFNB2,5,6.092,4.876176070134938e-66,-1.1951,6.4667057359368e-07,yes,yes,0.4746,6.672226404826627e-06,-0.3635,0.2022030917302192,trend,yes,CONSERVED_relaxed
FGFR2,FGF10,5,4.8125,3.73174473733275e-33,-5.0931,0.0017681320321255,yes,yes,0.3913,0.0114970073109342,-1.4958,1.0,trend,yes,CONSERVED_relaxed
FGFR2,FGF16,3,4.8125,3.73174473733275e-33,-4.559,0.0001095520986479,yes,yes,0.3913,0.0114970073109342,-18.6509,1.0,trend,yes,CONSERVED_relaxed
FGFR2,FGF5,4,4.8125,3.73174473733275e-33,-1.0153,0.9999344575108172,trend,yes,0.3913,0.0114970073109342,-19.554,1.0,trend,yes,CONSERVED_relaxed
FGFR2,FGF6,4,4.8125,3.73174473733275e-33,-3.5799,0.9999344575108172,trend,yes,0.3913,0.0114970073109342,-19.066,1.0,trend,yes,CONSERVED_relaxed
FGFR2,FGF7,5,4.8125,3.73174473733275e-33,-4.8695,1.4766889235174525e-21,yes,yes,0.3913,0.0114970073109342,-0.0212,1.0,trend,yes,CONSERVED_relaxed
MERTK,GAS6,5,0.8681,6.052572826626081e-12,-14.0022,9.195792804308949e-45,yes,yes,0.1197,1.0,-0.0235,1.0,trend,yes,CONSERVED_relaxed
TYRO3,GAS6,5,8.3137,1.706062030966723e-142,-14.0022,9.195792804308949e-45,yes,yes,0.2831,1.0,-0.0235,1.0,trend,yes,CONSERVED_relaxed
ACVR1,GDF2,4,21.9604,0.0,-1.489,0.9210310316380188,trend,yes,0.0998,1.0,-17.8092,1.0,trend,yes,CONSERVED_relaxed
BMPR2,GDF2,4,15.1217,0.0,-1.489,0.9210310316380188,trend,yes,0.029,1.0,-17.8092,1.0,trend,yes,CONSERVED_relaxed
ACVR1,GDF5,4,21.9604,0.0,-0.3172,0.9999344575108172,trend,yes,0.0998,1.0,-0.2296,1.0,trend,yes,CONSERVED_relaxed
BMPR2,GDF5,4,15.1217,0.0,-0.3172,0.9999344575108172,trend,yes,0.029,1.0,-0.2296,1.0,trend,yes,CONSERVED_relaxed
ROR2,GDF5,4,7.3162,8.138353348528051e-149,-0.3172,0.9999344575108172,trend,yes,0.358,1.143098418722006e-05,-0.2296,1.0,trend,yes,CONSERVED_relaxed
TSHR,GPHA2,4,0.6516,0.998474528960166,-0.6001,0.9999344575108172,trend,yes,1.2325,0.7792271653876349,-16.0655,1.0,trend,yes,CONSERVED_relaxed
GRIN2D,HRAS,3,1.8186,1.070781992248783e-09,-0.8923,5.4342226013183566e-192,yes,yes,0.7131,1.0,-0.925,1.0,trend,yes,CONSERVED_relaxed
INSR,HRAS,4,0.5957,8.088641315405144e-42,-0.8923,5.4342226013183566e-192,yes,yes,0.2877,0.0002493268055544,-0.925,1.0,trend,yes,CONSERVED_relaxed
IL2RG,ICAM1,3,0.6758,8.341877120318331e-15,-27.1289,7.270841286462939e-21,yes,yes,0.4209,1.0,-0.759,1.0,trend,yes,CONSERVED_relaxed
IL12RB1,IL12A,4,0.2974,0.9999344575108172,-9.2179,3.1312177913909026e-15,trend,yes,0.4291,1.0,-18.9656,1.0,trend,yes,CONSERVED_relaxed
IL12RB1,IL12B,4,0.2974,0.9999344575108172,-3.0975,0.9999344575108172,trend,yes,0.4291,1.0,-16.9204,1.0,trend,yes,CONSERVED_relaxed
IL23R,IL12B,4,1.4533,0.9999344575108172,-3.0975,0.9999344575108172,trend,yes,1.8216,1.0,-16.9204,1.0,trend,yes,CONSERVED_relaxed
IL2RG,IL15,4,0.6758,8.341877120318331e-15,-16.2161,3.520104297136089e-14,yes,yes,0.4209,1.0,-0.2756,0.0087710010003218,trend,yes,CONSERVED_relaxed
GRIN2D,IL16,4,1.8186,1.070781992248783e-09,-6.9089,3.2786146366201797e-11,yes,yes,0.7131,1.0,-0.041,1.0,trend,yes,CONSERVED_relaxed
KCND1,IL16,3,1.6759,9.946427686684897e-17,-6.9089,3.2786146366201797e-11,yes,yes,0.5874,1.0,-0.041,1.0,trend,yes,CONSERVED_relaxed
IL1RAPL1,IL18,4,0.3236,0.5992629772699837,-9.9899,8.74212775120619e-14,trend,yes,0.5995,0.0004156366524288,-0.1677,0.2946241720134714,trend,yes,CONSERVED_relaxed
IL1RL2,IL18,3,3.199,1.3872751101272303e-78,-9.9899,8.74212775120619e-14,yes,yes,0.7793,1.0,-0.1677,0.2946241720134714,trend,yes,CONSERVED_relaxed
IL1R1,IL1RN,4,35.6379,0.0,-1.5618,0.9999344575108172,trend,yes,0.3548,4.190032872217283e-06,-0.5114,1.0,trend,yes,CONSERVED_relaxed
IL1R2,IL1RN,4,4.6352,1.7244787871398567e-54,-1.5618,0.9999344575108172,trend,yes,2.3837,1.0,-0.5114,1.0,trend,yes,CONSERVED_relaxed
IL2RG,IL2,4,0.6758,8.341877120318331e-15,-3.444,0.028466548391807,yes,yes,0.4209,1.0,-18.1814,1.0,trend,yes,CONSERVED_relaxed
IL12RB1,IL23A,4,0.2974,0.9999344575108172,-0.513,0.9999344575108172,trend,yes,0.4291,1.0,-0.7175,1.0,trend,yes,CONSERVED_relaxed
IL23R,IL23A,4,1.4533,0.9999344575108172,-0.513,0.9999344575108172,trend,yes,1.8216,1.0,-0.7175,1.0,trend,yes,CONSERVED_relaxed
IL13RA1,IL4,4,32.5887,0.0,-0.0698,0.9999344575108172,trend,yes,0.0854,1.0,-16.8069,1.0,trend,yes,CONSERVED_relaxed
IL13RA2,IL4,4,0.0171,0.9999344575108172,-0.0698,0.9999344575108172,trend,yes,2.0911,1.0,-16.8069,1.0,trend,yes,CONSERVED_relaxed
IL2RG,IL4,4,0.6758,8.341877120318331e-15,-0.0698,0.9999344575108172,trend,yes,0.4209,1.0,-16.8069,1.0,trend,yes,CONSERVED_relaxed
ITGB1,LAMC2,4,334.4704,0.0,-11.4373,2.9664651117450787e-16,yes,yes,0.4347,3.774832503484081e-07,-0.311,1.0,trend,yes,CONSERVED_relaxed
CD44,MADCAM1,4,65.2963,0.0,-0.1779,0.9999344575108172,trend,yes,0.4064,0.0010917356158519,-0.0853,1.0,trend,yes,CONSERVED_relaxed
NOTCH1,MFNG,4,4.3951,2.465241393848366e-183,-5.039,0.2870977366995788,trend,yes,0.7993,0.6606492981719543,-0.7836,1.0,trend,yes,CONSERVED_relaxed
PLAUR,MMP12,4,3.176,1.7395688016444874e-74,-2.1334,0.9999344575108172,trend,yes,0.0354,1.0,-16.7466,1.0,trend,yes,CONSERVED_relaxed
FZD1,MYOC,3,9.4399,1.257713597114739e-277,-153.0395,0.0,yes,yes,0.0488,1.0,-0.7036,1.0,trend,yes,CONSERVED_relaxed
INSR,NAMPT,3,0.5957,8.088641315405144e-42,-13.2667,1.339926174696022e-27,yes,yes,0.2877,0.0002493268055544,-1.0408,1.4706484086240346e-13,yes,yes,CONSERVED_strict
ITGAV,NID1,4,50.4759,0.0,-58.1287,0.9999344575108172,trend,yes,0.1033,1.0,-0.1109,1.0,trend,yes,CONSERVED_relaxed
ITGB3,NID1,4,4.5739,4.016441041116983e-40,-58.1287,0.9999344575108172,trend,yes,0.295,1.0,-0.1109,1.0,trend,yes,CONSERVED_relaxed
PTPRF,NID1,4,18.6807,0.0,-58.1287,0.9999344575108172,trend,yes,0.2102,0.0190693490323633,-0.1109,1.0,trend,yes,CONSERVED_relaxed
ACVR1B,NODAL,4,1.0532,4.245720121012983e-15,-3.0424,0.9999344575108172,trend,yes,0.3542,0.9146332302534812,-0.0893,1.0,trend,yes,CONSERVED_relaxed
NPFFR1,NPFF,5,0.9582,0.9999344575108172,-0.8518,0.9324598979979256,trend,yes,0.7309,1.0,-0.6634,1.0,trend,yes,CONSERVED_relaxed
FAP,NPY,4,22.1979,0.0,-2.386,0.9999344575108172,trend,yes,0.8263,1.0,-18.4827,1.0,trend,yes,CONSERVED_relaxed
GFRA2,NRTN,4,0.0185,2.3437926125731184e-21,-4.5961,0.0907259167041479,trend,yes,0.1149,1.0,-0.3662,1.0,trend,yes,CONSERVED_relaxed
LRRC4,NTNG2,4,1.2848,0.2098649001797617,-1.2265,0.9999344575108172,trend,yes,1.2982,1.0,-0.0449,1.0,trend,yes,CONSERVED_relaxed
IL6ST,OSM,4,5.9256,5.237849615188787e-175,-3.7892,0.9999344575108172,trend,yes,0.3514,1.1176301121782341e-07,-16.9658,1.0,trend,yes,CONSERVED_relaxed
OSMR,OSM,4,16.3501,0.0,-3.7892,0.9999344575108172,trend,yes,0.1701,0.148011766891808,-16.9658,1.0,trend,yes,CONSERVED_relaxed
OXTR,OXT,5,1.0429,0.9999344575108172,-1.2939,0.9999344575108172,trend,yes,0.8267,1.0,-0.6972,1.0,trend,yes,CONSERVED_relaxed
FGFR2,PF4,4,4.8125,3.73174473733275e-33,-18.2464,0.4852182034372547,trend,yes,0.3913,0.0114970073109342,-17.1642,1.0,trend,yes,CONSERVED_relaxed
NOTCH1,PSEN1,4,4.3951,2.465241393848366e-183,-10.1008,3.2887149946609237e-39,yes,yes,0.7993,0.6606492981719543,-0.0542,1.0,trend,yes,CONSERVED_relaxed
NOTCH3,PSEN1,4,5.4688,1.5999027198372099e-232,-10.1008,3.2887149946609237e-39,yes,yes,0.9111,1.0,-0.0542,1.0,trend,yes,CONSERVED_relaxed
NOTCH4,PSEN1,4,1.4665,1.1539854676177063e-28,-10.1008,3.2887149946609237e-39,yes,yes,0.3283,1.0,-0.0542,1.0,trend,yes,CONSERVED_relaxed
LGR6,RSPO1,5,1.9336,0.0217249594200328,-24.7784,1.0423220477571363e-55,yes,yes,0.8593,1.0,-0.1317,1.0,trend,yes,CONSERVED_relaxed
LRP6,RSPO1,4,12.8705,0.0,-24.7784,1.0423220477571363e-55,yes,yes,0.1581,0.8107383351178986,-0.1317,1.0,trend,yes,CONSERVED_relaxed
LGR6,RSPO2,5,1.9336,0.0217249594200328,-0.6465,0.9999344575108172,trend,yes,0.8593,1.0,-0.2597,1.0,trend,yes,CONSERVED_relaxed
MARCO,SCGB3A1,4,1.4316,0.9999344575108172,-4.1976,0.9999344575108172,trend,yes,0.7566,1.0,-18.4754,1.0,trend,yes,CONSERVED_relaxed
NRP2,SEMA3F,5,9.625,6.096977135244711e-269,-0.7559,0.9999344575108172,trend,yes,0.325,1.0,-0.014,1.0,trend,yes,CONSERVED_relaxed
NRP2,SEMA4F,3,9.625,6.096977135244711e-269,-0.7748,0.9999344575108172,trend,yes,0.325,1.0,-0.3329,1.0,trend,yes,CONSERVED_relaxed
TNFRSF11B,TNFSF10,5,6.0929,2.0295204175847104e-159,-2.099,0.9999344575108172,trend,yes,0.5631,0.0173869767794457,-0.2149,1.0,trend,yes,CONSERVED_relaxed
TNFRSF12A,TNFSF12,5,60.9176,0.0,-77.9638,6.687247149718048e-245,yes,yes,0.0137,1.0,-0.1646,1.0,trend,yes,CONSERVED_relaxed
TRHR,TRH,5,20.3258,0.9999344575108172,-1.2296,0.9999344575108172,trend,yes,0.6466,1.0,-16.7832,1.0,trend,yes,CONSERVED_relaxed
FZD1,WNT3,4,9.4399,1.257713597114739e-277,-1.1477,0.9999344575108172,trend,yes,0.0488,1.0,-0.4085,1.0,trend,yes,CONSERVED_relaxed
FZD8,WNT3,4,17.0945,0.0,-1.1477,0.9999344575108172,trend,yes,0.1721,1.0,-0.4085,1.0,trend,yes,CONSERVED_relaxed
LRP6,WNT3,4,12.8705,0.0,-1.1477,0.9999344575108172,trend,yes,0.1581,0.8107383351178986,-0.4085,1.0,trend,yes,CONSERVED_relaxed
RYK,WNT3,4,66.478,0.0,-1.1477,0.9999344575108172,trend,yes,0.194,0.1459619729320124,-0.4085,1.0,trend,yes,CONSERVED_relaxed
