receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
IL7R,IL7,4,-0.04,1.56,-0.65,-0.71,-0.03,2.19,-0.6916,0.2036,no,no,neither,0.0,0.0,0.0
IL2RG,IL9,4,7.88,,0.68,,0.03,,0.4209,,no_data,no,neither,0.0,0.0,0.0
IL9R,IL9,4,-0.0,,-0.62,,-0.04,,-19.728,,no_data,no,neither,0.0,0.0,0.0
ACVR2A,INHA,4,12.91,3.31,2.08,0.99,-0.23,-0.11,-0.0667,-0.1541,no,no,neither,0.0,0.0,0.0
TGFBR3,INHA,4,-43.88,3.31,-59.77,0.99,1.63,-0.11,0.1545,-0.1541,no,trend,human_only,0.0,0.0044,0.0022
ACVR1,INHBA,4,54.75,57.82,21.96,44.51,0.96,-2.54,0.0998,-1.9269,no,trend,human_only,0.0,0.0087,0.0044
ACVR1B,INHBA,4,7.97,57.82,1.05,44.51,1.58,-2.54,0.3542,-1.9269,no,trend,human_only,0.0,0.0103,0.0052
ACVR2A,INHBA,4,12.91,57.82,2.08,44.51,-0.23,-2.54,-0.0667,-1.9269,no,no,neither,0.0,0.0,0.0
ACVR2B,INHBA,4,-2.06,57.82,-4.41,44.51,0.47,-2.54,0.194,-1.9269,no,trend,human_only,0.0,0.0075,0.0038
BAMBI,INHBA,4,17.39,57.82,-15.29,44.51,-0.22,-2.54,-0.1802,-1.9269,no,no,neither,0.0,0.0,0.0
ENG,INHBA,4,-12.61,57.82,-72.96,44.51,4.89,-2.54,0.5993,-1.9269,no,trend,human_only,0.0,0.0186,0.0093
TGFBR3,INHBA,4,-43.88,57.82,-59.77,44.51,1.63,-2.54,0.1545,-1.9269,no,trend,human_only,0.0,0.0104,0.0052
ACVR1,INHBB,4,54.75,-5.46,21.96,-15.34,0.96,0.05,0.0998,0.3368,yes,no,mouse_only,0.1505,0.0,0.0753
ACVR1B,INHBB,4,7.97,-5.46,1.05,-15.34,1.58,0.05,0.3542,0.3368,yes,no,mouse_only,0.0336,0.0,0.0168
ACVR1C,INHBB,4,0.17,-5.46,0.3,-15.34,-0.26,0.05,-1.0491,0.3368,trend,no,mouse_only,0.0141,0.0,0.007
ACVR2A,INHBB,4,12.91,-5.46,2.08,-15.34,-0.23,0.05,-0.0667,0.3368,yes,no,mouse_only,0.0459,0.0,0.023
ACVR2B,INHBB,4,-2.06,-5.46,-4.41,-15.34,0.47,0.05,0.194,0.3368,no,no,neither,0.0,0.0,0.0
ACVR1,INHBC,3,54.75,,21.96,,0.96,-0.04,0.0998,-1.0777,no_data,trend,human_only,0.0,0.0025,0.0013
ACVR1B,INHBC,3,7.97,,1.05,,1.58,-0.04,0.3542,-1.0777,no_data,trend,human_only,0.0,0.0041,0.002
ACVR2A,INHBC,5,12.91,,2.08,,-0.23,-0.04,-0.0667,-1.0777,no_data,no,neither,0.0,0.0,0.0
ACVR2B,INHBC,5,-2.06,,-4.41,,0.47,-0.04,0.194,-1.0777,no_data,trend,human_only,0.0,0.0013,0.0006
ACVR2B,INHBE,3,-2.06,0.0,-4.41,-1.62,0.47,0.07,0.194,2.0872,no,no,neither,0.0,0.0,0.0
IGF1R,INS,4,26.97,,-0.05,,0.44,,0.0438,,no_data,no,neither,0.0,0.0,0.0
INSR,INS,5,13.64,,0.6,,4.49,,0.2877,,no_data,no,neither,0.0,0.0,0.0
LRP2,INS,4,-4.47,,-3.07,,1.3,,0.123,,no_data,no,neither,0.0,0.0,0.0
