receptor,ligand,n_db,m_r_lfc,m_r_padj,m_l_lfc,m_l_padj,m_strict,m_relaxed,h_r_lfc,h_r_padj,h_l_lfc,h_l_padj,h_strict,h_relaxed,conservation
ITGA9,ADAM2,4,11.9974,2.6565569117446117e-274,1.6024,0.9999344575108172,no,no,0.0215,1.0,1.2109,1.0,no,no,neither
ITGB1,ADAM2,4,334.4704,0.0,1.6024,0.9999344575108172,no,no,0.4347,3.774832503484081e-07,1.2109,1.0,no,no,neither
ITGB7,ADAM2,4,-1.5319,0.9999344575108172,1.6024,0.9999344575108172,no,no,0.3004,1.0,1.2109,1.0,no,no,neither
ITGA5,ADAM23,3,17.4686,8.270553119411679e-238,0.4203,4.466628937562293e-05,no,no,0.3136,1.0,0.6056,1.0,no,no,neither
ITGB3,ADAM23,3,4.5739,4.016441041116983e-40,0.4203,4.466628937562293e-05,no,no,0.295,1.0,0.6056,1.0,no,no,neither
ITGA4,ADAM28,4,-0.6264,0.771398107833967,-3.9487,0.9999344575108172,no,no,-0.2517,1.0,0.072,1.0,no,no,neither
ITGA3,ADAM9,4,-1.8104,0.0213997984079524,16.3695,0.0,no,no,0.3865,0.0023087863871003,0.1497,1.0,no,no,neither
ITGA6,ADAM9,4,-34.2838,7.221185787132491e-38,16.3695,0.0,no,no,0.1204,1.0,0.1497,1.0,no,no,neither
ITGAV,ADAM9,4,50.4759,0.0,16.3695,0.0,no,no,0.1033,1.0,0.1497,1.0,no,no,neither
ITGB1,ADAM9,4,334.4704,0.0,16.3695,0.0,no,no,0.4347,3.774832503484081e-07,0.1497,1.0,no,no,neither
ITGB5,ADAM9,4,150.6471,0.0,16.3695,0.0,no,no,-0.0112,1.0,0.1497,1.0,no,no,neither
ADCYAP1R1,ADCYAP1,5,-4.1942,7.24563322570366e-08,,,no_data,no_data,1.0086,1.0,-0.5711,1.0,trend,yes,human_only
SCTR,ADCYAP1,4,-0.0505,0.9999344575108172,,,no_data,no_data,1.651,0.8112999554688528,-0.5711,1.0,trend,yes,human_only
VIPR1,ADCYAP1,5,1.9671,0.6600547822067091,,,no_data,no_data,-1.2746,1.0,-0.5711,1.0,no,no,neither
VIPR2,ADCYAP1,5,-5.0525,0.0003619188628903,,,no_data,no_data,0.5559,3.028429821695983e-09,-0.5711,1.0,trend,yes,human_only
ADIPOR1,ADIPOQ,4,-16.3186,4.455064715299101e-66,-3.8692,0.9999344575108172,no,no,-0.1556,1.0,-0.8446,1.0,no,no,neither
ADIPOR2,ADIPOQ,4,-0.5454,1.018983502821114e-134,-3.8692,0.9999344575108172,no,no,-0.0327,1.0,-0.8446,1.0,no,no,neither
CALCR,ADM,4,-1.8899,0.9999344575108172,-123.2959,1.5888470773207311e-174,no,no,0.5591,1.0,0.7234,1.0,no,no,neither
CALCRL,ADM,4,-21.2752,9.839235197893662e-15,-123.2959,1.5888470773207311e-174,no,no,0.2452,0.8984122009797305,0.7234,1.0,no,no,neither
GPR182,ADM,3,-6.3426,0.0248757827413764,-123.2959,1.5888470773207311e-174,no,no,0.0,1.0,0.7234,1.0,no,no,neither
MRGPRX2,ADM,3,,,-123.2959,1.5888470773207311e-174,no_data,no_data,-0.364,1.0,0.7234,1.0,no,no,neither
RAMP2,ADM,4,-349.871,0.0,-123.2959,1.5888470773207311e-174,no,no,0.2429,1.0,0.7234,1.0,no,no,neither
RAMP3,ADM,3,-5.5114,0.3128957391505949,-123.2959,1.5888470773207311e-174,no,no,0.3053,1.0,0.7234,1.0,no,no,neither
CALCR,ADM2,4,-1.8899,0.9999344575108172,1.4727,0.9869969235857172,no,no,0.5591,1.0,-16.41,1.0,trend,yes,human_only
CALCRL,ADM2,4,-21.2752,9.839235197893662e-15,1.4727,0.9869969235857172,no,no,0.2452,0.8984122009797305,-16.41,1.0,trend,yes,human_only
RAMP1,ADM2,4,-7.3993,0.3043248025235253,1.4727,0.9869969235857172,no,no,0.5577,0.0612324067478036,-16.41,1.0,trend,yes,human_only
EPHA7,AFDN,4,31.9646,0.0,-6.3498,2.295930398484685e-110,yes,yes,0.3969,1.0,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
EPHB2,AFDN,4,10.117,7.016598977006612e-151,-6.3498,2.295930398484685e-110,yes,yes,0.5655,0.1389728477829799,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
EPHB3,AFDN,4,11.2477,2.0608860973678798e-228,-6.3498,2.295930398484685e-110,yes,yes,0.2887,1.0,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
EPHB6,AFDN,4,6.092,4.876176070134938e-66,-6.3498,2.295930398484685e-110,yes,yes,0.4746,6.672226404826627e-06,-0.439,1.340369778535819e-15,yes,yes,CONSERVED_strict
F11R,AFDN,4,-25.0743,2.902915897184579e-51,-6.3498,2.295930398484685e-110,no,no,0.0321,1.0,-0.439,1.340369778535819e-15,trend,yes,human_only
NECTIN1,AFDN,4,-5.8174,2.7109266189311863e-14,-6.3498,2.295930398484685e-110,no,no,0.1755,1.0,-0.439,1.340369778535819e-15,trend,yes,human_only
NECTIN2,AFDN,4,11.8591,0.0,-6.3498,2.295930398484685e-110,yes,yes,-0.4333,0.0828257078913188,-0.439,1.340369778535819e-15,no,no,mouse_only
NECTIN3,AFDN,4,19.3375,0.0,-6.3498,2.295930398484685e-110,yes,yes,0.2372,0.175360077564137,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
NECTIN4,AFDN,4,0.2899,0.9999344575108172,-6.3498,2.295930398484685e-110,trend,yes,1.5088,1.0,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
NRXN2,AFDN,3,-45.3711,5.015962805798245e-265,-6.3498,2.295930398484685e-110,no,no,0.7397,1.0,-0.439,1.340369778535819e-15,trend,yes,human_only
NRXN3,AFDN,3,-1.1739,0.9999344575108172,-6.3498,2.295930398484685e-110,no,no,-0.7341,0.0338486926524315,-0.439,1.340369778535819e-15,no,no,neither
ATP1A3,AGRN,4,-0.1173,0.9999344575108172,14.1602,1.0182471842364127e-286,no,no,1.107,0.2741598642407562,0.2944,1.0,no,no,neither
LRP4,AGRN,4,-9.554,0.4068452635054311,14.1602,1.0182471842364127e-286,no,no,-0.6005,1.0,0.2944,1.0,no,no,neither
MUSK,AGRN,4,-0.8564,0.9999344575108172,14.1602,1.0182471842364127e-286,no,no,1.3092,1.9890370266463095e-10,0.2944,1.0,no,no,neither
MC3R,AGRP,5,,,-0.3567,0.5800455900635991,no_data,no_data,0.0,1.0,-17.5178,1.0,no,no,neither
MC4R,AGRP,5,-2.9357,0.9999344575108172,-0.3567,0.5800455900635991,no,no,2.3661,1.0,-17.5178,1.0,trend,yes,human_only
MC5R,AGRP,5,2.1307,0.3591654615453218,-0.3567,0.5800455900635991,trend,yes,0.0,1.0,-17.5178,1.0,no,no,mouse_only
SDC3,AGRP,4,28.9004,0.0,-0.3567,0.5800455900635991,trend,yes,0.9631,0.9785026698503438,-17.5178,1.0,trend,yes,CONSERVED_relaxed
AGTR1,AGT,5,,,0.0058,0.0165068663678343,no_data,no_data,0.896,0.5116694107565728,0.5363,1.0,no,no,neither
AGTR2,AGT,5,0.0691,0.9999344575108172,0.0058,0.0165068663678343,no,no,3.1456,1.0,0.5363,1.0,no,no,neither
LRP2,AGT,4,-3.068,1.722378908969545e-05,0.0058,0.0165068663678343,no,no,0.123,1.0,0.5363,1.0,no,no,neither
MAS1,AGT,4,-1.4232,0.9999344575108172,0.0058,0.0165068663678343,no,no,1.0616,1.0,0.5363,1.0,no,no,neither
INSR,AHSG,4,0.5957,8.088641315405144e-42,-14.4325,2.740125086874161e-13,yes,yes,0.2877,0.0002493268055544,1.8695,1.0,no,no,mouse_only
LRP2,ALB,4,-3.068,1.722378908969545e-05,-0.6583,0.9999344575108172,no,no,0.123,1.0,-0.4061,1.0,trend,yes,human_only
LAMP1,AMELX,4,-82.1425,1.7077425934547207e-76,-0.4567,0.9999344575108172,no,no,0.3148,0.2079951376978978,-18.7097,1.0,trend,yes,human_only
LAMP1,AMELY,3,-82.1425,1.7077425934547207e-76,,,no_data,no_data,0.3148,0.2079951376978978,0.905,1.0,no,no,neither
ACVR1,AMH,4,21.9604,0.0,-1.2809,0.9999344575108172,trend,yes,0.0998,1.0,-1.0318,1.0,trend,yes,CONSERVED_relaxed
AMHR2,AMH,4,-2.8675,0.0001138672302723,-1.2809,0.9999344575108172,no,no,0.4113,1.0,-1.0318,1.0,trend,yes,human_only
EGFR,AMH,4,9.1206,4.0958356894436235e-295,-1.2809,0.9999344575108172,trend,yes,-0.0943,1.0,-1.0318,1.0,no,no,mouse_only
ITGA5,ANGPT1,4,17.4686,8.270553119411679e-238,-0.0237,2.572906970629661e-76,yes,yes,0.3136,1.0,0.284,1.0,no,no,mouse_only
ITGB1,ANGPT1,3,334.4704,0.0,-0.0237,2.572906970629661e-76,yes,yes,0.4347,3.774832503484081e-07,0.284,1.0,no,no,mouse_only
TEK,ANGPT1,5,-47.8123,1.5690321748818382e-166,-0.0237,2.572906970629661e-76,no,no,0.0175,1.0,0.284,1.0,no,no,neither
TIE1,ANGPT1,4,-11.2365,0.0003588081657797,-0.0237,2.572906970629661e-76,no,no,0.5033,1.0,0.284,1.0,no,no,neither
TEK,ANGPT2,5,-47.8123,1.5690321748818382e-166,4.3905,2.289026723004711e-38,no,no,0.0175,1.0,1.2065,0.011447872219854,no,no,neither
TIE1,ANGPT2,3,-11.2365,0.0003588081657797,4.3905,2.289026723004711e-38,no,no,0.5033,1.0,1.2065,0.011447872219854,no,no,neither
TEK,ANGPT4,5,-47.8123,1.5690321748818382e-166,-2.1161,0.3760663713767448,no,no,0.0175,1.0,-20.4359,1.0,trend,yes,human_only
TEK,ANGPTL1,4,-47.8123,1.5690321748818382e-166,-8.4709,3.1561371992110694e-16,no,no,0.0175,1.0,0.6301,1.0,no,no,neither
ITGA5,ANGPTL3,4,17.4686,8.270553119411679e-238,-1.3885,0.9999344575108172,trend,yes,0.3136,1.0,4.3209,1.0,no,no,mouse_only
ITGAV,ANGPTL3,4,50.4759,0.0,-1.3885,0.9999344575108172,trend,yes,0.1033,1.0,4.3209,1.0,no,no,mouse_only
ITGB3,ANGPTL3,4,4.5739,4.016441041116983e-40,-1.3885,0.9999344575108172,trend,yes,0.295,1.0,4.3209,1.0,no,no,mouse_only
FGFR1,ANOS1,4,-25.9323,1.0469399729610734e-19,,,no_data,no_data,0.5478,1.0451429706120076e-10,-0.4339,0.2824550139641337,trend,yes,human_only
SDC2,ANOS1,4,-199.4438,0.0,,,no_data,no_data,-0.0586,1.0,-0.4339,0.2824550139641337,no,no,neither
DYSF,ANXA1,4,7.9157,1.0734847221473817e-152,-68.3941,3.6858929502308633e-44,yes,yes,0.1832,1.0,-0.6591,5.524547778335654e-10,trend,yes,CONSERVED_relaxed
EGFR,ANXA1,4,9.1206,4.0958356894436235e-295,-68.3941,3.6858929502308633e-44,yes,yes,-0.0943,1.0,-0.6591,5.524547778335654e-10,no,no,mouse_only
FPR1,ANXA1,5,-2.8996,0.9999344575108172,-68.3941,3.6858929502308633e-44,no,no,1.0317,1.0,-0.6591,5.524547778335654e-10,trend,yes,human_only
FPR2,ANXA1,5,-1.9345,0.9999344575108172,-68.3941,3.6858929502308633e-44,no,no,-0.4192,1.0,-0.6591,5.524547778335654e-10,no,no,neither
FPR3,ANXA1,5,,,-68.3941,3.6858929502308633e-44,no_data,no_data,-0.4439,1.0,-0.6591,5.524547778335654e-10,no,no,neither
APLNR,APELA,3,-15.1034,0.002975924345727,-2.6856,0.7910071341992182,no,no,-0.0842,1.0,-20.0337,1.0,no,no,neither
APLNR,APLN,5,-15.1034,0.002975924345727,-2.1399,0.0788548523282565,no,no,-0.0842,1.0,2.0482,1.0,no,no,neither
LDLR,APOB,4,-11.7191,0.0003388870774986,21.0682,0.9999344575108172,no,no,0.1358,1.0,-0.1259,1.0,trend,yes,human_only
LRP2,APOB,4,-3.068,1.722378908969545e-05,21.0682,0.9999344575108172,no,no,0.123,1.0,-0.1259,1.0,trend,yes,human_only
LSR,APOB,4,-15.6859,7.678813295290364e-56,21.0682,0.9999344575108172,no,no,-0.1566,1.0,-0.1259,1.0,no,no,neither
OLR1,APOB,4,-0.312,0.9999344575108172,21.0682,0.9999344575108172,no,no,-2.507,1.0,-0.1259,1.0,no,no,neither
LEPR,APOD,4,-14.7165,3.5905409813352385e-10,-80.3029,1.8793085001669308e-105,no,no,0.2785,0.1803922526186079,-0.1422,1.0,trend,yes,human_only
LDLR,APOE,4,-11.7191,0.0003388870774986,,,no_data,no_data,0.1358,1.0,0.0315,1.0,no,no,neither
LRP1,APOE,4,-169.3567,0.0,,,no_data,no_data,0.9567,1.6789085456172686e-28,0.0315,1.0,no,no,neither
LRP2,APOE,4,-3.068,1.722378908969545e-05,,,no_data,no_data,0.123,1.0,0.0315,1.0,no,no,neither
LRP5,APOE,4,1.9367,3.6244646582270682e-109,,,no_data,no_data,0.4678,0.3783663103950592,0.0315,1.0,no,no,neither
LRP8,APOE,4,1.5651,0.0003558416023579,,,no_data,no_data,0.8571,1.0,0.0315,1.0,no,no,neither
SCARB1,APOE,4,-2.8287,2.759390840769582e-17,,,no_data,no_data,-0.5261,0.0007107353966478,0.0315,1.0,no,no,neither
SORL1,APOE,4,-2.4533,0.516044277931596,,,no_data,no_data,0.0593,1.0,0.0315,1.0,no,no,neither
VLDLR,APOE,4,-11.1798,0.4792411199602981,,,no_data,no_data,0.5244,0.3911935144219511,0.0315,1.0,no,no,neither
CAV1,APP,4,-61.4683,2.679351521194567e-38,153.1671,0.0,no,no,0.2573,0.0093086306966834,0.1849,0.0759701442513082,no,no,neither
CD74,APP,5,-79.4813,2.2032328580398448e-06,153.1671,0.0,no,no,0.175,0.9146332302534812,0.1849,0.0759701442513082,no,no,neither
FPR2,APP,5,-1.9345,0.9999344575108172,153.1671,0.0,no,no,-0.4192,1.0,0.1849,0.0759701442513082,no,no,neither
GPC1,APP,4,10.1038,1.1023176827756088e-143,153.1671,0.0,no,no,0.629,0.7427462860433053,0.1849,0.0759701442513082,no,no,neither
LRP1,APP,4,-169.3567,0.0,153.1671,0.0,no,no,0.9567,1.6789085456172686e-28,0.1849,0.0759701442513082,no,no,neither
NCSTN,APP,4,-4.4003,1.887199560777296e-142,153.1671,0.0,no,no,0.4248,1.0,0.1849,0.0759701442513082,no,no,neither
TNFRSF21,APP,5,-18.116,1.086354848981484e-14,153.1671,0.0,no,no,0.3323,0.2076075704029859,0.1849,0.0759701442513082,no,no,neither
EGFR,AREG,5,9.1206,4.0958356894436235e-295,0.6364,0.9845148029516244,no,no,-0.0943,1.0,-2.3182,0.0001037832463163,no,no,neither
ERBB3,AREG,4,-0.7357,0.9999344575108172,0.6364,0.9845148029516244,no,no,-0.0146,1.0,-2.3182,0.0001037832463163,no,no,neither
CHRM3,ARF1,4,-3.9035,0.2892757345967121,-25.0373,0.0082049472283497,no,no,-1.1645,1.6217690499165498e-57,0.2306,0.3440747719974342,no,no,neither
INSR,ARF1,4,0.5957,8.088641315405144e-42,-25.0373,0.0082049472283497,yes,yes,0.2877,0.0002493268055544,0.2306,0.3440747719974342,no,no,mouse_only
PLD2,ARF1,4,0.9907,3.851478112815718e-50,-25.0373,0.0082049472283497,yes,yes,0.0901,1.0,0.2306,0.3440747719974342,no,no,mouse_only
GFRA1,ARTN,4,-23.8736,6.584122404218642e-42,0.9927,0.0251851646994889,no,no,0.6879,0.0040053371677835,0.3004,1.0,no,no,neither
GFRA3,ARTN,4,-3.2798,0.9999344575108172,0.9927,0.0251851646994889,no,no,1.0919,1.0,0.3004,1.0,no,no,neither
RET,ARTN,4,-27.7085,1.450925741608321e-131,0.9927,0.0251851646994889,no,no,1.3497,1.0,0.3004,1.0,no,no,neither
ATRN,ASIP,4,7.9716,5.5259059355325625e-204,,,no_data,no_data,0.0731,1.0,0.6762,1.0,no,no,neither
F11R,ASIP,4,-25.0743,2.902915897184579e-51,,,no_data,no_data,0.0321,1.0,0.6762,1.0,no,no,neither
MC1R,ASIP,5,0.4864,0.6247125856965461,,,no_data,no_data,-0.1051,1.0,0.6762,1.0,no,no,neither
MC2R,ASIP,4,-2.3816,0.9999344575108172,,,no_data,no_data,-16.743,1.0,0.6762,1.0,no,no,neither
MC3R,ASIP,4,,,,,no_data,no_data,0.0,1.0,0.6762,1.0,no,no,neither
MC4R,ASIP,4,-2.9357,0.9999344575108172,,,no_data,no_data,2.3661,1.0,0.6762,1.0,no,no,neither
MC5R,ASIP,4,2.1307,0.3591654615453218,,,no_data,no_data,0.0,1.0,0.6762,1.0,no,no,neither
AVPR1A,AVP,5,-7.6607,0.041568266697877,3.1031,0.9999344575108172,no,no,-19.4738,1.0,-17.3367,1.0,no,no,neither
AVPR1B,AVP,5,,,3.1031,0.9999344575108172,no_data,no_data,0.0,1.0,-17.3367,1.0,no,no,neither
AVPR2,AVP,5,-1.2115,0.9999344575108172,3.1031,0.9999344575108172,no,no,0.2735,1.0,-17.3367,1.0,trend,yes,human_only
OXTR,AVP,5,1.0429,0.9999344575108172,3.1031,0.9999344575108172,no,no,0.8267,1.0,-17.3367,1.0,trend,yes,human_only
ITGAV,AZGP1,4,50.4759,0.0,,,no_data,no_data,0.1033,1.0,0.5356,1.0,no,no,neither
CD1A,B2M,4,,,,,no_data,no_data,-17.2331,1.0,0.3989,4.1513534578417816e-11,no,no,neither
CD1B,B2M,4,,,,,no_data,no_data,-17.5435,1.0,0.3989,4.1513534578417816e-11,no,no,neither
HFE,B2M,3,-32.023,1.857447894192091e-79,,,no_data,no_data,0.6411,1.0,0.3989,4.1513534578417816e-11,no,no,neither
HLA-F,B2M,4,,,,,no_data,no_data,0.0404,1.0,0.3989,4.1513534578417816e-11,no,no,neither
LILRB1,B2M,4,,,,,no_data,no_data,-1.48,1.0,0.3989,4.1513534578417816e-11,no,no,neither
BEX3,BDNF,3,24.2828,0.0,39.0675,0.0,no,no,0.6976,8.266570859717696e-08,0.6448,1.0,no,no,neither
NGFR,BDNF,5,-1.8123,0.8743956965753553,39.0675,0.0,no,no,0.5396,1.0,0.6448,1.0,no,no,neither
NTRK2,BDNF,5,-2.8378,0.1737873174838085,39.0675,0.0,no,no,-0.0339,1.0,0.6448,1.0,no,no,neither
SORT1,BDNF,5,-0.0046,9.87822938471957e-14,39.0675,0.0,no,no,-0.0172,1.0,0.6448,1.0,no,no,neither
TLR2,BGN,4,-2.5953,4.605148616862717e-09,,,no_data,no_data,-0.0901,1.0,0.5887,0.0335845805860888,no,no,neither
TLR4,BGN,4,-7.5531,0.7437114363521953,,,no_data,no_data,0.322,1.0,0.5887,0.0335845805860888,no,no,neither
ACVR2A,BMP10,4,2.0794,1.3580638240402423e-37,21.8689,0.9999344575108172,no,no,-0.0667,1.0,0.5401,3.6396693060054685e-17,no,no,neither
ACVRL1,BMP10,4,-22.9321,4.75791833561646e-38,21.8689,0.9999344575108172,no,no,0.8245,1.0,0.5401,3.6396693060054685e-17,no,no,neither
BMPR1A,BMP10,4,9.5619,0.0,21.8689,0.9999344575108172,no,no,-0.031,1.0,0.5401,3.6396693060054685e-17,no,no,neither
BMPR1B,BMP10,3,2.3497,0.0010098620916556,21.8689,0.9999344575108172,no,no,-0.4775,8.845479358160179e-13,0.5401,3.6396693060054685e-17,no,no,neither
BMPR2,BMP10,4,15.1217,0.0,21.8689,0.9999344575108172,no,no,0.029,1.0,0.5401,3.6396693060054685e-17,no,no,neither
ENG,BMP10,4,-72.9588,6.016285782973368e-36,21.8689,0.9999344575108172,no,no,0.5993,4.228401543020083e-05,0.5401,3.6396693060054685e-17,no,no,neither
ACVR2A,BMP15,3,2.0794,1.3580638240402423e-37,0.5469,0.9999344575108172,no,no,-0.0667,1.0,-15.9282,1.0,no,no,neither
BMPR1A,BMP15,3,9.5619,0.0,0.5469,0.9999344575108172,no,no,-0.031,1.0,-15.9282,1.0,no,no,neither
BMPR1B,BMP15,4,2.3497,0.0010098620916556,0.5469,0.9999344575108172,no,no,-0.4775,8.845479358160179e-13,-15.9282,1.0,no,no,neither
BMPR2,BMP15,4,15.1217,0.0,0.5469,0.9999344575108172,no,no,0.029,1.0,-15.9282,1.0,trend,yes,human_only
ACVR1,BMP2,3,21.9604,0.0,-12.7977,1.2892853069774322e-31,yes,yes,0.0998,1.0,0.0272,1.0,no,no,mouse_only
ACVR2A,BMP2,3,2.0794,1.3580638240402423e-37,-12.7977,1.2892853069774322e-31,yes,yes,-0.0667,1.0,0.0272,1.0,no,no,mouse_only
ACVR2B,BMP2,4,-4.4119,0.0736384232141601,-12.7977,1.2892853069774322e-31,no,no,0.194,1.0,0.0272,1.0,no,no,neither
BMPR1A,BMP2,4,9.5619,0.0,-12.7977,1.2892853069774322e-31,yes,yes,-0.031,1.0,0.0272,1.0,no,no,mouse_only
BMPR1B,BMP2,4,2.3497,0.0010098620916556,-12.7977,1.2892853069774322e-31,yes,yes,-0.4775,8.845479358160179e-13,0.0272,1.0,no,no,mouse_only
BMPR2,BMP2,4,15.1217,0.0,-12.7977,1.2892853069774322e-31,yes,yes,0.029,1.0,0.0272,1.0,no,no,mouse_only
ENG,BMP2,4,-72.9588,6.016285782973368e-36,-12.7977,1.2892853069774322e-31,no,no,0.5993,4.228401543020083e-05,0.0272,1.0,no,no,neither
HJV,BMP2,4,-6.3062,0.0278903859809894,-12.7977,1.2892853069774322e-31,no,no,0.3307,1.0,0.0272,1.0,no,no,neither
ACVR2B,BMP3,3,-4.4119,0.0736384232141601,-0.1257,0.9999344575108172,no,no,0.194,1.0,1.5626,0.4555076752908755,no,no,neither
BMPR1A,BMP4,4,9.5619,0.0,-73.5347,0.0,yes,yes,-0.031,1.0,0.7596,0.0041786643686515,no,no,mouse_only
BMPR1B,BMP4,4,2.3497,0.0010098620916556,-73.5347,0.0,yes,yes,-0.4775,8.845479358160179e-13,0.7596,0.0041786643686515,no,no,mouse_only
BMPR2,BMP4,4,15.1217,0.0,-73.5347,0.0,yes,yes,0.029,1.0,0.7596,0.0041786643686515,no,no,mouse_only
BMPR1A,BMP5,3,9.5619,0.0,-1.514,0.9999344575108172,trend,yes,-0.031,1.0,0.9028,1.0,no,no,mouse_only
HJV,BMP5,3,-6.3062,0.0278903859809894,-1.514,0.9999344575108172,no,no,0.3307,1.0,0.9028,1.0,no,no,neither
ACVR1,BMP6,4,21.9604,0.0,-20.7313,3.4077937903842886e-20,yes,yes,0.0998,1.0,-0.463,1.0,trend,yes,CONSERVED_relaxed
ACVR2A,BMP6,4,2.0794,1.3580638240402423e-37,-20.7313,3.4077937903842886e-20,yes,yes,-0.0667,1.0,-0.463,1.0,no,no,mouse_only
BMPR1A,BMP6,4,9.5619,0.0,-20.7313,3.4077937903842886e-20,yes,yes,-0.031,1.0,-0.463,1.0,no,no,mouse_only
BMPR1B,BMP6,4,2.3497,0.0010098620916556,-20.7313,3.4077937903842886e-20,yes,yes,-0.4775,8.845479358160179e-13,-0.463,1.0,no,no,mouse_only
BMPR2,BMP6,4,15.1217,0.0,-20.7313,3.4077937903842886e-20,yes,yes,0.029,1.0,-0.463,1.0,trend,yes,CONSERVED_relaxed
ACVR1,BMP7,4,21.9604,0.0,-3.0789,0.0094799096604423,yes,yes,0.0998,1.0,0.1084,1.0,no,no,mouse_only
ACVR2A,BMP7,4,2.0794,1.3580638240402423e-37,-3.0789,0.0094799096604423,yes,yes,-0.0667,1.0,0.1084,1.0,no,no,mouse_only
ACVR2B,BMP7,4,-4.4119,0.0736384232141601,-3.0789,0.0094799096604423,no,no,0.194,1.0,0.1084,1.0,no,no,neither
BMPR1A,BMP7,4,9.5619,0.0,-3.0789,0.0094799096604423,yes,yes,-0.031,1.0,0.1084,1.0,no,no,mouse_only
BMPR1B,BMP7,4,2.3497,0.0010098620916556,-3.0789,0.0094799096604423,yes,yes,-0.4775,8.845479358160179e-13,0.1084,1.0,no,no,mouse_only
BMPR2,BMP7,4,15.1217,0.0,-3.0789,0.0094799096604423,yes,yes,0.029,1.0,0.1084,1.0,no,no,mouse_only
ENG,BMP7,4,-72.9588,6.016285782973368e-36,-3.0789,0.0094799096604423,no,no,0.5993,4.228401543020083e-05,0.1084,1.0,no,no,neither
