gene,pct_quiescent,pct_activated,odds_ratio,log_or,fisher_p
Or4c115,0.001235668273710651,0.0017532775232980571,1.4196258552545058,0.3503933546804953,0.031022162609242468
Gm28883,0.0004253939958676012,0.000868741115147686,2.0431097108830096,0.7144730152663856,0.005173442328317986
Gm4405,8.102742778430499e-05,0.0001263623440214816,1.559571577517298,0.4444111537471735,0.5682998625508602
Gm28090,8.102742778430499e-05,1.57952930026852e-05,0.19492489219542244,-1.635140962843328,0.1756494442485365
Gm8885,0.014038001863630838,0.02032854209445585,1.4574063538641195,0.3766583859701618,8.94943431558564e-16
Rps27a-ps1,0.003544949965563343,0.004817564365818986,1.3607314612218986,0.3080223942980822,0.001229217265944577
Rpl7a-ps10,0.009135842482680387,0.008276733533407044,0.9051779941903808,-0.0996236759575194,0.12761566921208048
Ska2l-ps,0.0003848802819754487,0.0013583951982309272,3.5328372969625126,1.262101314942524,3.218433639505532e-08
Gm7837,2.0256856946076248e-05,3.15905860053704e-05,1.5595185442598092,0.44437714815232154,1.0
Csnk2a1-ps3,0.15447879107077747,0.23046912020217974,1.639239218023566,0.49423224275613636,7.249201351391492e-226
Gm29110,0.00036462342502937244,0.0002685199810456484,0.7363601732331292,-0.3060359141477748,0.3968085377850985
Gm8870,6.077057083822874e-05,3.15905860053704e-05,0.5198184536972684,-0.6542756558711132,0.6594939132097981
Gm5703,0.00032410971113721996,0.0006949928921181487,2.1451095375082985,0.7631906175135693,0.008708344711423606
Txn-ps1,0.0021674836932301586,0.00355394092560417,1.6419435578314083,0.4958806364025346,1.8479191316153665e-05
Vmn1r206,2.0256856946076248e-05,4.73858790080556e-05,2.3393147677192094,0.8498580521772418,0.6363919080290357
Gm29036,0.0006279625653283637,0.0016743010582846312,2.669037892660938,0.9817180676467983,2.6400474406269525e-07
Rbm6-ps1,0.0005671919944901349,0.0010740799241825937,1.894640541773776,0.6390291328230749,0.003809953750836016
Gm5621,0.071466191305757,0.09388722160796083,1.3462363597137306,0.29731281737676435,8.847086936144082e-42
Gm28700,0.0004253939958676012,0.0003790870320644448,0.8911020717739423,-0.11529629940382437,0.7644034226202849
Gm8495,0.0014584937001174897,0.0029695150845048175,2.039100648127612,0.7125088518883562,1.1403734861607366e-07
Gm28635,0.025381841753433537,0.03873005844258411,1.5470849323416827,0.4363724714036758,2.0791524854483708e-36
Gm6060,0.00044565085281367744,0.0005844258410993523,1.3115805535320968,0.27123293935518566,0.3589988557374702
Gm8004,2.0256856946076248e-05,4.73858790080556e-05,2.3393147677192094,0.8498580521772418,0.6363919080290357
Gm18666,0.00036462342502937244,0.0005370399620912968,1.4731160137949442,0.3873798945928818,0.20900134728521774
Gm29609,0.01170846331483207,0.02083399147054178,1.7959793136619508,0.5855504518080799,3.620769034336725e-33
Gm29228,0.014848276141473889,0.026046438161427894,1.7743413669685764,0.5734292932044885,1.1220514148595876e-39
Gm28337,0.00014179799862253372,9.47717580161112e-05,0.6683260818544529,-0.4029790780615279,0.5790114887705329
Gm7858,2.0256856946076248e-05,4.73858790080556e-05,2.3393147677192094,0.8498580521772418,0.6363919080290357
Gm29495,4.0513713892152495e-05,4.73858790080556e-05,1.1696336897973367,0.15669061414482055,1.0
Gm17796,2.0256856946076248e-05,6.31811720107408e-05,3.119135626954791,1.1375559207952934,0.3939865133851733
Gm29335,0.0008102742778430498,0.0012952140262201864,1.5992645663313723,0.4695438775332192,0.013746357633702884
Or2y1f,0.0005064214236519062,0.0007581740641288896,1.497498024090291,0.4037957315343372,0.12446536712743406
Gm2427,0.0009520722764655836,0.00157952930026852,1.6600861027241178,0.5068694701342104,0.0035648083287742197
Gm9127,0.00010128428473038123,0.0001895435160322224,1.8715662422193433,0.6267756429907414,0.3288629327670328
Gm5835,0.0054693513754405865,0.007123677144211025,1.3046421944940851,0.26592882271601875,0.0005272200143082875
Rnf170-ps,0.009703034477170523,0.022697836044858633,2.370355405427246,0.8630399040000329,1.9532283398242492e-66
Gm9120,2.0256856946076248e-05,4.73858790080556e-05,2.3393147677192094,0.8498580521772418,0.6363919080290357
Gm28503,0.006441680508852247,0.009998420470699732,1.5577210622535846,0.44322389563898357,6.958946748642892e-11
Gm17807,4.0513713892152495e-05,7.8976465013426e-05,1.9494510702156227,0.6675478304928756,0.4778550058294966
H2al1b,4.0513713892152495e-05,1.57952930026852e-05,0.3898655799333428,-0.9419532661072937,0.5850418864943985
Gm5829,0.001397723129279261,0.002779971568472595,1.991685501691135,0.6889812660207993,5.647287412265387e-07
Gm18800,0.0007495037070048211,0.0014057810772389828,1.8768485668249988,0.6295940760465585,0.00113817509112599
Gm11993,0.003707004821131953,0.005749486652977412,1.5541651713264852,0.440938534152183,7.864336631076027e-07
Or2y1e,2.0256856946076248e-05,0.000157952930026852,7.798578199052133,2.0539414349073284,0.02892212645300595
Gm6028,0.007414009642263906,0.006807771284157321,0.9176702204607218,-0.08591718987359602,0.23714576278452826
Gm8203,0.0009723291334116598,0.0005370399620912968,0.552082674842489,-0.5940574706545589,0.01000243392087746
9130401M01Rik,0.29556779970019853,0.4657400094771758,2.0776528151352616,0.7312388022674222,0.0
Gm29427,0.0009318154195195074,0.0012320328542094457,1.32258295194508,0.2795866063712376,0.147325433574997
Mrgprc2-ps,0.010371510756391039,0.024166798294108355,2.363054260076076,0.8599549603093479,3.418110322941951e-70
Gm28102,0.0004861645667058299,0.0003001105670510188,0.6171875411459239,-0.4825823447857845,0.12511435746231556
Gm28825,0.0,0.000157952930026852,inf,inf,0.003395721779537412
Gm20824,6.077057083822874e-05,3.15905860053704e-05,0.5198184536972684,-0.6542756558711132,0.6594939132097981
Gm10074,0.004780618239273994,0.007076291265202969,1.4836264963500894,0.394489425971049,7.073862395556553e-07
Gm20835,0.00036462342502937244,0.0002527246880429632,0.6930339193112915,-0.366676335374892,0.30317261599895506
Gm18304,6.077057083822874e-05,0.0,0.0,-10.0,0.08409588081016561
Gm17748,0.008953530770165702,0.017422208181961777,1.9626187476391586,0.6742796771950336,4.130569179793258e-35
Gm28438,0.7087063971154236,0.7824988153530248,1.4787224154108163,0.39117848214547674,2.3850784213679436e-176
Akp-ps1,6.077057083822874e-05,1.57952930026852e-05,0.2599051214413959,-1.3474386320983076,0.3255198180024085
Btf3-ps17,8.102742778430499e-05,0.00011056705101879639,1.3646035732903654,0.31086396395824156,0.7653119166366168
Ldhal6b,0.0003443665680832962,0.0006791975991154636,1.9729707616367236,0.6795404076892751,0.018484917285462324
ENSMUSG00000101963,0.00018231171251468622,0.0001895435160322224,1.0396747659220407,0.03890793916963723,1.0
Gm28693,0.0029169874002349795,0.007771284157321119,2.6771811688794083,0.9847644383332415,6.308624859727292e-29
H3c11,0.006178341368553255,0.015779497709682514,2.578916755744782,0.9473694486523234,7.787186873983498e-54
Iqank1,0.002228254264068387,0.005623124308955931,2.5321715422805107,0.9290772517028629,1.2055546829133204e-19
Bcl2a1a,0.0011141271320341936,0.0007265834781235192,0.6519019864808939,-0.42786105583908424,0.034895845771435216
