rank,receptor,ligand,r_logfc,l_logfc,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,drug_receptor,drug_ligand,druggability_auto,lit_receptor,lit_ligand,literature_auto,mismatch_norm,priority_score
75,Itgb1,Lama2,334.47,-119.32,4,0.2,0.16,Other,ITGB1,LAMA2,mouse_only,0.2,0.627,0.461,0.5107999999999999,0.583,0.589,0.586,0.16,0.32736
76,Igf2r,Igf2,65.7,-0.2,5,0.667,0.0137,IGF,IGF2R,IGF2,mouse_only,0.2,0.497,0.661,0.6118,0.615,0.754,0.6845,0.0137,0.32337000000000005
77,Erbb2,Tgfa,1.35,-2.65,4,0.125,0.0036,EGF,ERBB2,TGFA,mouse_only,0.2,0.8,0.543,0.6201,0.925,0.416,0.6705,0.0036,0.3192
78,Insr,Arf1,0.6,-25.04,4,1.0,0.0477,Other,INSR,ARF1,mouse_only,0.2,0.979,0.523,0.6597999999999999,0.617,0.508,0.5625,0.0477,0.31877
79,Plaur,Plau,3.18,-0.07,5,0.5,0.0011,Other,PLAUR,PLAU,mouse_only,0.2,0.595,0.734,0.6922999999999999,0.656,0.482,0.569,0.0011,0.31259
80,Bmpr1a,Bmp6,9.56,-20.73,4,0.4,0.306,BMP,BMPR1A,BMP6,mouse_only,0.2,0.697,0.0,0.20909999999999998,0.615,0.56,0.5875,0.306,0.31112
81,Nrp2,Sema3c,9.63,-54.6,5,0.2,0.1925,Sema/VEGF,NRP2,SEMA3C,mouse_only,0.2,0.461,0.461,0.46099999999999997,0.517,0.478,0.4975,0.1925,0.30945
82,Acvr2a,Bmp2,2.08,-12.8,3,0.286,0.0356,Activin,ACVR2A,BMP2,mouse_only,0.2,0.723,0.543,0.597,0.315,0.867,0.591,0.0356,0.30828
83,Itgb1,Lamb1,334.47,-75.75,4,0.2,0.16,Other,ITGB1,LAMB1,mouse_only,0.2,0.627,0.497,0.536,0.583,0.328,0.4555,0.16,0.3063
84,Itgb5,Ltbp1,150.65,-25.43,4,0.6,0.48,Other,ITGB5,LTBP1,mouse_only,0.2,0.343,0.0,0.1029,0.315,0.486,0.40049999999999997,0.48,0.30468
85,Igf2r,Plau,65.7,-0.07,4,0.667,0.0037,IGF,IGF2R,PLAU,mouse_only,0.2,0.497,0.734,0.6628999999999999,0.615,0.482,0.5485,0.0037,0.30339
86,Bmpr1b,Bmp7,2.35,-3.08,4,0.444,0.0257,BMP,BMPR1B,BMP7,mouse_only,0.2,0.697,0.613,0.6382,0.403,0.657,0.53,0.0257,0.30135
87,Epha3,Efna1,5.34,-5.8,5,0.429,0.1327,Other,EPHA3,EFNA1,mouse_only,0.2,0.613,0.62,0.6179,0.3,0.435,0.3675,0.1327,0.29689000000000004
88,Egfr,Efemp1,9.12,-136.53,4,0.211,0.1536,EGF,EGFR,EFEMP1,mouse_only,0.2,0.8,0.0,0.24,1.0,0.403,0.7015,0.1536,0.29438
89,Acvr2a,Bmp7,2.08,-3.08,4,0.286,0.0146,Activin,ACVR2A,BMP7,mouse_only,0.2,0.723,0.613,0.6459999999999999,0.315,0.657,0.486,0.0146,0.29078
90,Acvr1,Inhbb,21.96,-15.34,4,0.444,0.3556,BMP/Activin,ACVR1,INHBB,mouse_only,0.2,0.882,0.0,0.2646,0.524,0.095,0.3095,0.3556,0.2815
