rank,receptor,ligand,receptor_logfc,receptor_padj,receptor_rank_among_receptors,ligand_logfc,ligand_padj,mismatch_score,pathway
287,Acvr1,Gdf5,21.96,0.0,116,-0.32,0.9999344575108172,22.28,BMP/Activin
288,Plxnb2,Sema4d,18.9,0.0,135,-3.38,0.1466476177321936,22.28,Semaphorin
289,Pth1r,Gcg,20.15,0.0,128,-1.47,0.9999344575108172,21.62,Other
290,Notch1,Wnt4,4.4,2.465241393848366e-183,332,-17.11,0.071157188045968,21.5,Notch
291,Plxnb2,Sema4a,18.9,0.0,135,-2.58,0.0523542671186514,21.48,Semaphorin
292,Pth1r,Sct,20.15,0.0,128,-1.3,0.0113049030669867,21.44,Other
293,Itga2,Col6a6,0.74,5.542923091695777e-05,569,-20.58,4.0597354457711256e-76,21.32,Other
294,Fzd6,Wnt4,4.0,1.2058569772357722e-55,351,-17.11,0.071157188045968,21.1,Wnt
295,Ptprf,Cdh1,18.68,0.0,138,-2.41,0.8564981785505362,21.09,Other
296,Ptprf,Lrrc4b,18.68,0.0,138,-2.34,0.9999344575108172,21.02,Other
297,Pth1r,Insl3,20.15,0.0,128,-0.87,0.2399013674008546,21.01,Other
298,Ptprf,Lrrc4c,18.68,0.0,138,-2.01,0.9999344575108172,20.69,Other
299,Fzd8,Wnt6,17.09,0.0,149,-3.46,0.4068476482136856,20.56,Wnt
300,Lama4,Dag1,3.82,1.0502146517420372e-119,358,-16.68,1.2559119117740166e-25,20.5,Other
301,Fzd8,Wnt5b,17.09,0.0,149,-3.35,0.0016820139074368,20.44,Wnt
302,Fzd1,Wnt5a,9.44,1.257713597114739e-277,227,-10.99,0.1652932478745672,20.43,Wnt
303,Pth1r,Pomc,20.15,0.0,128,-0.2,3.552012021589363e-06,20.35,Other
304,Fzd3,Wnt4,3.23,1.3344254210450407e-31,383,-17.11,0.071157188045968,20.34,Wnt
305,Tbxa2r,Tbxas1,19.67,0.0,131,-0.64,0.5509526647668684,20.31,Other
306,Jag1,Notch2,19.92,0.0,129,-0.32,9.008726996899669e-151,20.24,Other
307,Pth1r,Calcb,20.15,0.0,128,-0.07,0.1718895705598684,20.22,Other
308,Jag1,Cd46,19.92,0.0,129,-0.22,0.06816970616881,20.14,Other
309,Osmr,Osm,16.35,0.0,155,-3.79,0.9999344575108172,20.14,Other
310,Fzd5,Wnt6,16.61,1.5136412228990692e-266,154,-3.46,0.4068476482136856,20.07,Wnt
311,Fzd5,Wnt5b,16.61,1.5136412228990692e-266,154,-3.35,0.0016820139074368,19.96,Wnt
312,Lrp6,Wnt9a,12.87,0.0,188,-6.91,0.0003557073971754,19.78,Wnt
313,Fzd9,Wnt4,2.38,4.723243205884783e-09,425,-17.11,0.071157188045968,19.48,Other
314,Lrp6,Cklf,12.87,0.0,188,-6.54,4.55054094972971e-51,19.41,Wnt
315,Plxna1,Sema6d,4.56,2.3940792622217255e-94,324,-14.76,0.4138995963666333,19.32,Semaphorin
316,Lrp5,Wnt4,1.94,3.6244646582270682e-109,460,-17.11,0.071157188045968,19.04,Wnt
317,Itga5,L1cam,17.47,8.270553119411679e-238,148,-1.49,0.9999344575108172,18.96,Other
318,Itga5,Angptl3,17.47,8.270553119411679e-238,148,-1.39,0.9999344575108172,18.86,Other
319,Itgb8,Tgfb1,12.0,1.4650893849954412e-215,196,-6.73,1.906931661343303e-127,18.74,Other
