rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway,h_receptor,h_ligand,conservation,conservation_score,lig_deliver,lig_dgidb,rec_dgidb,druggability,lit_receptor,lit_ligand,literature,mismatch_norm,priority_score
43,Bmpr1b,Bmp2,3.49,2.35,-11.79,-12.8,1.2892853069774322e-31,4,0.444,4,9,0.0004,BMP,BMPR1B,BMP2,mouse_only,0.2,1.0,0.543,0.697,0.78114,0.403,0.867,0.635,0.0068610634648370505,0.3452863190394511
44,Acvr2a,Bmp2,12.91,2.08,-11.79,-12.8,1.2892853069774322e-31,3,0.286,4,14,0.0007,Other,ACVR2A,BMP2,mouse_only,0.2,1.0,0.543,0.723,0.78894,0.315,0.867,0.591,0.012006861063464838,0.33959005831903943
45,Insr,Ahsg,13.64,0.6,-7.43,-14.43,2.740125086874161e-13,4,0.333,2,6,0.0007,Other,INSR,AHSG,mouse_only,0.2,1.0,0.0,0.979,0.7137,0.617,0.611,0.614,0.012006861063464838,0.3291420583190395
46,Nrp2,Sema3c,35.1,9.63,-33.99,-54.6,3.3543069247321523e-252,5,0.2,2,10,0.006,Sema/VEGF,NRP2,SEMA3C,mouse_only,0.2,1.0,0.461,0.461,0.6873799999999999,0.517,0.478,0.4975,0.10291595197255575,0.3278507855917667
47,Bmpr1b,Bmp7,3.49,2.35,-2.82,-3.08,0.0094799096604423,4,0.444,4,9,0.0001,BMP,BMPR1B,BMP7,mouse_only,0.2,1.0,0.613,0.697,0.8007399999999999,0.403,0.657,0.53,0.0017152658662092626,0.3266625797598628
48,Acvr2a,Bmp7,12.91,2.08,-2.82,-3.08,0.0094799096604423,4,0.286,4,14,0.0002,Other,ACVR2A,BMP7,mouse_only,0.2,1.0,0.613,0.723,0.8085399999999999,0.315,0.657,0.486,0.0034305317324185253,0.31993715951972557
49,Bmpr1a,Bmp6,41.83,9.56,-9.31,-20.73,3.4077937903842886e-20,4,0.4,4,10,0.0031,BMP,BMPR1A,BMP6,mouse_only,0.2,1.0,0.0,0.697,0.6291,0.615,0.56,0.5875,0.05317324185248713,0.31927197255574613
50,Itgav,Col4a3,71.96,50.48,-23.5,-24.83,2.2243661695266457e-121,4,0.1,2,20,0.0034,Other,ITGAV,COL4A3,mouse_only,0.2,1.0,0.497,0.634,0.7493599999999999,0.423,0.494,0.4585,0.05831903945111492,0.31906771183533444
51,Bmpr1b,Bmp4,3.49,2.35,-38.65,-73.53,0.0,4,0.444,4,9,0.0012,BMP,BMPR1B,BMP4,mouse_only,0.2,1.0,0.0,0.697,0.6291,0.403,0.86,0.6315,0.020583190394511147,0.3182949571183533
52,Itgb1,Lamb1,118.2,334.47,-7.14,-75.75,2.2848321839459625e-12,4,0.158,6,38,0.0027,Other,ITGB1,LAMB1,mouse_only,0.2,1.0,0.497,0.627,0.7472599999999998,0.583,0.328,0.4555,0.04631217838765009,0.314445653516295
53,Pvr,Vtn,14.07,1.16,-10.41,-120.41,6.644433391825109e-25,4,1.0,1,1,0.0029,Other,PVR,VTN,mouse_only,0.2,1.0,0.0,0.0,0.42,1.0,0.504,0.752,0.04974271012006861,0.3093228130360206
54,Insr,Arf1,13.64,0.6,-2.87,-25.04,0.0082049472283497,4,0.333,2,6,0.0003,Other,INSR,ARF1,mouse_only,0.2,0.5,0.523,0.979,0.6501399999999999,0.617,0.508,0.5625,0.005145797598627787,0.30407173927958836
55,Itgb3,Vtn,13.35,4.57,-10.41,-120.41,6.644433391825109e-25,4,0.143,2,14,0.0004,Other,ITGB3,VTN,mouse_only,0.2,1.0,0.0,0.646,0.6138,0.646,0.504,0.575,0.0068610634648370505,0.2998183190394511
56,Plaur,Vtn,18.34,3.18,-10.41,-120.41,6.644433391825109e-25,4,0.2,1,5,0.0008,Other,PLAUR,VTN,mouse_only,0.2,1.0,0.0,0.595,0.5985,0.656,0.504,0.5800000000000001,0.013722126929674101,0.29981663807890224
57,Tnfrsf11b,Vtn,26.97,6.09,-10.41,-120.41,6.644433391825109e-25,4,0.143,1,7,0.0008,Other,TNFRSF11B,VTN,mouse_only,0.2,1.0,0.0,0.584,0.5952,0.661,0.504,0.5825,0.013722126929674101,0.2996566380789022
58,Bmpr1b,Bmp6,3.49,2.35,-9.31,-20.73,3.4077937903842886e-20,4,0.444,4,9,0.0003,BMP,BMPR1B,BMP6,mouse_only,0.2,1.0,0.0,0.697,0.6291,0.403,0.56,0.48150000000000004,0.005145797598627787,0.2836637392795884
59,Itgav,Vtn,71.96,50.48,-10.41,-120.41,6.644433391825109e-25,4,0.1,2,20,0.0015,Other,ITGAV,VTN,mouse_only,0.2,1.0,0.0,0.634,0.6102,0.423,0.504,0.4635,0.025728987993138937,0.2824586963979417
60,Acvr2a,Bmp6,12.91,2.08,-9.31,-20.73,3.4077937903842886e-20,4,0.286,4,14,0.0007,Other,ACVR2A,BMP6,mouse_only,0.2,1.0,0.0,0.723,0.6369,0.315,0.56,0.4375,0.012006861063464838,0.2784820583190395
61,Itga5,Vtn,33.0,17.47,-10.41,-120.41,6.644433391825109e-25,4,0.062,1,16,0.0004,Other,ITGA5,VTN,mouse_only,0.2,1.0,0.0,0.595,0.5985,0.46,0.504,0.482,0.0068610634648370505,0.2781583190394511
62,Itgb1,Fbln1,118.2,334.47,-47.12,-inf,0.0,4,0.158,6,38,0.0176,Other,ITGB1,FBLN1,mouse_only,0.2,0.3,0.1,0.627,0.34209999999999996,0.583,0.0,0.2915,0.30188679245283023,0.2772860377358491
63,Acvr1,Inhbb,54.75,21.96,-5.46,-15.34,1.109667392529749e-07,4,0.444,4,9,0.0027,BMP/Activin,ACVR1,INHBB,mouse_only,0.2,1.0,0.0,0.882,0.6846,0.524,0.095,0.3095,0.04631217838765009,0.27271365351629506
64,Fgfr1,Fgf1,9.19,-25.93,-3.96,-7.3,0.0001591980573015,5,0.083,1,12,0.0001,FGF,FGFR1,FGF1,mouse_only,0.2,1.0,0.804,0.1,0.6751199999999999,0.0,0.744,0.372,0.0017152658662092626,0.2699385797598628
65,Fzd3,Myoc,11.79,3.23,-57.29,-153.04,0.0,3,0.25,1,4,0.0025,Wnt,FZD3,MYOC,mouse_only,0.2,1.0,0.0,0.461,0.5583,0.245,0.451,0.348,0.042881646655231566,0.25412449399656944
66,Neo1,Rgma,83.4,49.09,-12.0,-33.87,1.176836588239294e-32,4,0.75,3,4,0.015,Other,NEO1,RGMA,mouse_only,0.2,0.5,0.297,0.0,0.29316,0.284,0.284,0.284,0.25728987993138935,0.2526189639794168
67,Itgb8,Vtn,31.41,12.0,-10.41,-120.41,6.644433391825109e-25,4,0.2,1,5,0.0013,Other,ITGB8,VTN,mouse_only,0.2,1.0,0.0,0.261,0.49829999999999997,0.34,0.504,0.42200000000000004,0.022298456260720412,0.25074953687821616
68,Sdc4,Tgm2,10.67,-41.42,-49.94,-65.47,0.0,4,0.125,1,8,0.0013,Other,SDC4,TGM2,mouse_only,0.2,1.0,0.727,0.1,0.65356,0.0,0.514,0.257,0.022298456260720412,0.24880153687821616
69,Cav1,Bst1,13.03,-61.47,-2.43,-3.0,0.028622617469138,3,0.2,1,5,0.0001,Other,CAV1,BST1,CONSERVED_relaxed,0.7,0.3,0.1,0.1,0.184,0.0,0.0,0.0,0.0017152658662092626,0.24731457975986276
70,Unc5c,Ntn1,7.33,1.56,-26.28,-35.44,2.2899630889175643e-151,5,1.0,1,1,0.0048,Other,UNC5C,NTN1,mouse_only,0.2,1.0,0.0,0.0,0.42,0.22,0.54,0.38,0.08233276157804459,0.24469982847341337
71,Plxnd1,Sema3c,10.06,-2.67,-33.99,-54.6,3.3543069247321523e-252,4,0.333,1,3,0.0023,Other,PLXND1,SEMA3C,mouse_only,0.2,1.0,0.461,0.1,0.5790799999999999,0.0,0.478,0.239,0.03945111492281304,0.2354513344768439
