gene,druggability_auto,literature_auto,pubmed_count,dgidb_interactions,dgidb_approved,deliver_category,deliver_score,uniprot_locations
VTN,0.0,0.504,39.0,0.0,0.0,secreted,1.0,"Secreted, extracellular space | Parasitophorous vacuole"
ADORA2B,0.861,0.504,39.0,18.0,9.0,membrane,0.5,Cell membrane
PSEN1,0.634,0.501,38.0,13.0,1.0,membrane,0.5,"Endoplasmic reticulum | Endoplasmic reticulum membrane | Golgi apparatus membrane | Cytoplasmic granule | Cell membrane | Cell projection, growth cone | Early endosome | Early endosome membrane | Cell projection, neuron projection | Cell projection, axon | Synapse"
ROR2,0.0,0.494,36.0,0.0,0.0,membrane,0.5,Cell membrane
COL4A3,0.497,0.494,36.0,2.0,2.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix, basement membrane"
EFNB2,0.757,0.486,34.0,55.0,5.0,membrane,0.5,"Cell membrane | Cell junction, adherens junction"
LTBP1,0.0,0.486,34.0,0.0,0.0,secreted,1.0,"Secreted | Secreted, extracellular space, extracellular matrix"
PLAU,0.734,0.482,33.0,42.0,21.0,secreted,1.0,Secreted
IL12A,0.613,0.478,32.0,10.0,3.0,secreted,1.0,Secreted
SEMA3C,0.461,0.478,32.0,1.0,1.0,secreted,1.0,Secreted
FGF5,0.0,0.478,32.0,0.0,0.0,secreted,1.0,Secreted
FGF16,0.0,0.474,31.0,0.0,0.0,secreted,1.0,Secreted
FGF7,0.297,0.465,29.0,2.0,0.0,secreted,1.0,Secreted
ITGA5,0.595,0.46,28.0,8.0,1.0,membrane,0.5,"Cell membrane | Cell junction, focal adhesion"
MYOC,0.0,0.451,26.0,0.0,0.0,secreted,1.0,"Secreted | Golgi apparatus | Cytoplasmic vesicle | Secreted, extracellular space | Secreted, extracellular space, extracellular matrix | Secreted, extracellular exosome | Mitochondrion | Mitochondrion intermembrane space | Mitochondrion inner membrane | Mitochondrion outer membrane | Rough endoplasmic reticulum | Cell projection | Cell projection, cilium | Secreted | Endoplasmic reticulum"
OSMR,0.261,0.44,24.0,1.0,0.0,membrane,0.5,Membrane
EFNA1,0.62,0.435,23.0,11.0,2.0,secreted,1.0,Cell membrane | Secreted
ADAM15,0.0,0.429,22.0,0.0,0.0,membrane,0.5,"Endomembrane system | Cell junction, adherens junction | Cell projection, cilium, flagellum | Cytoplasmic vesicle, secretory vesicle, acrosome"
DLL3,0.297,0.429,22.0,2.0,0.0,membrane,0.5,Membrane
SLIT3,0.0,0.429,22.0,0.0,0.0,secreted,1.0,Secreted
LRP8,0.0,0.423,21.0,0.0,0.0,secreted,1.0,Cell membrane | Secreted
ITGAV,0.634,0.423,21.0,13.0,3.0,membrane,0.5,"Cell membrane | Cell junction, focal adhesion"
EBI3,0.0,0.423,21.0,0.0,0.0,secreted,1.0,Secreted
ACVR1B,0.0,0.423,21.0,0.0,0.0,membrane,0.5,Cell membrane
TYRO3,0.661,0.423,21.0,18.0,1.0,membrane,0.5,Cell membrane
IL23A,0.595,0.416,20.0,8.0,5.0,secreted,1.0,Secreted
NPFF,0.0,0.416,20.0,0.0,0.0,secreted,1.0,Secreted
TGFA,0.543,0.416,20.0,4.0,2.0,secreted,1.0,"Secreted, extracellular space | Cell membrane"
ROBO2,0.0,0.403,18.0,0.0,0.0,membrane,0.5,Membrane
MADCAM1,0.323,0.403,18.0,3.0,0.0,membrane,0.5,Membrane
UNC5B,0.1,0.403,18.0,0.0,0.0,membrane,0.5,Cell membrane | Membrane raft
BMPR1B,0.697,0.403,18.0,2.0,2.0,membrane,0.5,Cell membrane
EFEMP1,0.0,0.403,18.0,0.0,0.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix"
GDF5,0.0,0.395,17.0,0.0,0.0,secreted,1.0,Secreted | Cell membrane
RSPO3,0.261,0.395,17.0,1.0,0.0,secreted,1.0,Secreted
LGR6,0.595,0.387,16.0,8.0,0.0,membrane,0.5,Cell membrane
SEMA3F,0.0,0.361,13.0,0.0,0.0,secreted,1.0,Secreted
PLXNA2,0.1,0.361,13.0,0.0,0.0,membrane,0.5,Cell membrane
EPHB3,0.762,0.361,13.0,58.0,12.0,membrane,0.5,"Cell membrane | Cell projection, dendrite"
DEFB1,0.0,0.351,12.0,0.0,0.0,secreted,1.0,Secreted | Membrane
IL1RL2,0.523,0.351,12.0,3.0,1.0,membrane,0.5,Membrane
EPHB2,0.787,0.351,12.0,78.0,11.0,membrane,0.5,"Cell membrane | Cell projection, axon | Cell projection, dendrite"
FZD1,0.543,0.351,12.0,4.0,1.0,membrane,0.5,Cell membrane
EDN3,0.461,0.34,11.0,1.0,1.0,secreted,1.0,Secreted
FGFRL1,0.261,0.34,11.0,1.0,0.0,membrane,0.5,Membrane
ITGB8,0.261,0.34,11.0,1.0,0.0,membrane,0.5,Cell membrane
SORBS1,0.1,0.34,11.0,0.0,0.0,membrane,0.5,"Cell junction, adherens junction | Cell membrane | Cytoplasm, cytoskeleton | Cell junction, focal adhesion | Nucleus | Nucleus matrix"
FZD8,0.297,0.34,11.0,2.0,0.0,membrane,0.5,Membrane | Golgi apparatus | Cell membrane
RSPO2,0.0,0.328,10.0,0.0,0.0,secreted,1.0,Secreted
LAMB1,0.497,0.328,10.0,2.0,1.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix, basement membrane"
NECTIN2,0.0,0.328,10.0,0.0,0.0,membrane,0.5,Cell membrane
IL13RA1,0.297,0.328,10.0,2.0,0.0,membrane,0.5,Membrane
ITGA9,0.297,0.328,10.0,2.0,0.0,membrane,0.5,Membrane
ACVR2A,0.723,0.315,9.0,3.0,2.0,membrane,0.5,Cell membrane
TNFSF13,0.297,0.315,9.0,2.0,0.0,secreted,1.0,Secreted
KCND1,0.573,0.315,9.0,6.0,4.0,membrane,0.5,Cell membrane
ITGB5,0.343,0.315,9.0,4.0,0.0,membrane,0.5,Cell membrane
PLXNB2,0.0,0.315,9.0,0.0,0.0,membrane,0.5,Cell membrane
EPHA3,0.613,0.3,8.0,10.0,1.0,secreted,1.0,Cell membrane | Secreted
LAMC2,0.461,0.3,8.0,1.0,1.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix, basement membrane"
IL12RB1,0.497,0.3,8.0,2.0,1.0,membrane,0.5,Membrane
FGF6,0.461,0.3,8.0,1.0,1.0,secreted,1.0,"Secreted, extracellular space"
SEMA6A,0.461,0.3,8.0,1.0,1.0,membrane,0.5,Cell membrane
RGMA,0.297,0.284,7.0,2.0,0.0,membrane,0.5,Cell membrane
NEO1,0.0,0.284,7.0,0.0,0.0,membrane,0.5,Cell membrane
NRTN,0.0,0.284,7.0,0.0,0.0,secreted,1.0,Secreted
EPHA1,0.497,0.284,7.0,2.0,1.0,membrane,0.5,Cell membrane
LRPAP1,0.0,0.284,7.0,0.0,0.0,other,0.3,"Rough endoplasmic reticulum lumen | Endoplasmic reticulum-Golgi intermediate compartment lumen | Golgi apparatus, cis-Golgi network | Golgi apparatus lumen | Endosome lumen | Cell surface"
TRHR,0.773,0.284,7.0,6.0,1.0,membrane,0.5,Cell membrane
JMJD6,0.0,0.284,7.0,0.0,0.0,intracellular,0.1,"Nucleus, nucleoplasm | Nucleus, nucleolus | Cytoplasm"
PLXNA4,0.1,0.266,6.0,0.0,0.0,membrane,0.5,Cell membrane
RSPO1,0.0,0.266,6.0,0.0,0.0,secreted,1.0,Secreted | Nucleus
GFRA2,0.543,0.266,6.0,4.0,1.0,membrane,0.5,Cell membrane
SDC3,0.0,0.266,6.0,0.0,0.0,membrane,0.5,Cell membrane
SEMA4C,0.1,0.245,5.0,0.0,0.0,membrane,0.5,"Postsynaptic density membrane | Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane"
AFDN,0.0,0.245,5.0,0.0,0.0,other,0.3,"Cell junction, adherens junction"
GRIN2D,0.895,0.245,5.0,27.0,9.0,membrane,0.5,Cell membrane | Postsynaptic cell membrane
SCGB3A1,0.461,0.245,5.0,1.0,1.0,secreted,1.0,Secreted
PTPRF,0.461,0.245,5.0,1.0,1.0,membrane,0.5,Membrane
OGFR,0.261,0.245,5.0,1.0,0.0,intracellular,0.1,Cytoplasm | Nucleus
FZD3,0.461,0.245,5.0,1.0,1.0,membrane,0.5,Membrane | Cell membrane | Cell surface | Apical cell membrane
NECTIN4,0.523,0.245,5.0,3.0,2.0,secreted,1.0,"Cell membrane | Cell junction, adherens junction | Secreted"
PTPRM,0.261,0.22,4.0,1.0,0.0,membrane,0.5,Cell membrane
UNC5C,0.0,0.22,4.0,0.0,0.0,membrane,0.5,"Cell membrane | Cell surface | Synapse, synaptosome | Cell projection, axon | Cell projection, dendrite | Cell projection, growth cone | Cell projection, lamellipodium | Cell projection, filopodium"
IL13RA2,0.543,0.22,4.0,4.0,1.0,membrane,0.5,Cell membrane
EPHA7,0.678,0.22,4.0,22.0,2.0,membrane,0.5,Cell membrane
MFNG,0.0,0.22,4.0,0.0,0.0,membrane,0.5,Golgi apparatus membrane
EFNA2,0.702,0.19,3.0,29.0,5.0,membrane,0.5,Cell membrane
EPHB6,0.461,0.19,3.0,1.0,1.0,secreted,1.0,Membrane | Secreted
EDN2,0.0,0.19,3.0,0.0,0.0,secreted,1.0,Secreted
IL1RAPL1,0.0,0.15,2.0,0.0,0.0,membrane,0.5,"Cell membrane | Cytoplasm | Cell projection, axon | Cell projection, dendrite"
NTNG2,0.1,0.15,2.0,0.0,0.0,membrane,0.5,Cell membrane
NECTIN3,0.0,0.15,2.0,0.0,0.0,membrane,0.5,"Cell membrane | Postsynaptic cell membrane | Cell junction, adherens junction"
RGMB,0.1,0.15,2.0,0.0,0.0,membrane,0.5,Cell membrane | Membrane raft
PTDSS1,0.0,0.15,2.0,0.0,0.0,membrane,0.5,Endoplasmic reticulum membrane
ITGB3BP,0.0,0.095,1.0,0.0,0.0,intracellular,0.1,"Nucleus | Chromosome, centromere | Chromosome, centromere, kinetochore | Nucleus | Nucleus | Cytoplasm | Cytoplasm"
NTN3,0.0,0.095,1.0,0.0,0.0,secreted,1.0,"Secreted, extracellular space, extracellular matrix"
INHBB,0.0,0.095,1.0,0.0,0.0,secreted,1.0,Secreted
LRRC4,0.0,0.0,0.0,0.0,0.0,membrane,0.5,Membrane | Postsynaptic cell membrane
NPFFR1,0.651,0.0,0.0,16.0,0.0,membrane,0.5,Cell membrane
SEMA4F,0.1,0.0,0.0,0.0,0.0,membrane,0.5,"Cell membrane | Postsynaptic density | Perikaryon | Cell projection, dendrite"
GPHA2,0.0,0.0,0.0,0.0,0.0,secreted,1.0,Secreted
